"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","본건_주소(ADDRESS)","사례번호(SRNUM)","본건_전용면적(BON_HO_AREA)","사례_주소(SR_ADDRESS)","사례_본번(SR_BUN1)","사례_부번(SR_BUN2)","사례_건물이름(SR_BLDNAME)","사례_거래년월(SR_YYYYMM)","사례_보증금(SR_DEPOSIT)","사례_월세(SR_RENT)","사례_조정_보증금(SR_MOD_DEPO)","사례_조정_월세(SR_MOD_RENT)","사례_건축연도(SR_CON_YEAR)","사례_전용면적(SR_AREA)","사례_층수(SR_FLOOR)"
"1147010300109950022","202004","11680-100221929","11500-100265199","서**별**강** **동**6**2**지**","1","26.88","서**별**양** **","0777","0018","R*U*","202005",5000,70,5982,32,"1995",38.22,6
"1141011900103350005","202001","11500-100232011","11680-66665","서**별**동**구**안**3**-**지**","5","39.86","서**별**송** **동**","0462","0015","(*6*-*)","201910",100,57,5816,77,"2012",48.05,5
"1153010900102130021","202005","11680-1146","11710-100494013","서**별**은** **동**1**7**지**","3","65.25","서**별**관** **동**","0293","0020","역*동*시*생*주*(*9*-*6*","202105",20000,55,4733,100,"2001",42.86,4
"1171010400101020015","202007","11545-6404","11710-103655","서**별**용** **동**-**지**","5","29.82","서**별**양** **","0475","0011","동*빌*","202007",3000,20,4962,66,"2012",59.99,2
"1174010900100820027","202010","11470-4448","11470-100207278","서**별**구** **동**6**1**지**","1","24.3","서**별**광** **동**","0318","0001","조*돌*I*","202012",5000,30,6187,48,"2016",52.61,1
"1174010800104040016","202105","11530-3390","11500-88936","서**별**동**구**안**4**-**지**","2","44.17","서**별**마** **동**","0916","0012","청*평*하*맨*A*(*6*-*)","202012",1500,20,5334,48,"2012",31.65,6
"1147010300104440005","202011","11470-100207446","11305-42192","서**별**영**구**등**2**9**2**번**","1","51.09","서**별**중** **동**","0949","0001","진*푸*지*","202105",2000,60,8200,99,"2003",27.96,5
"1168010100106980026","202103","11545-100193005","11710-175689","서**별**강** **동**2**2**지**","3","29.7","서**별**은** **동**","0256","0078","진*펠*체","202009",1500,65,6735,40,"2015",37.44,5
"1138010800100110029","202004","11380-100251922","11380-100279721","서**별**양** ** **1**2**지**","2","55.7","서**별**송** **동**","0279","0009","예*홈*운","202005",6000,60,4310,96,"2017",34.86,5
"1162010100115620003","202105","11740-3093","11320-100207080","서**별**은** **동**0**3**지**","2","50.27","서**별**송** **동**","0156","0053","한*리*빌*1*6*-*)","202012",20000,14,6203,55,"2012",46.23,5
"1150010300104100217","202104","11500-3589","11740-100242625","서**별**은** **동**1**번**","1","42.57","서**별**마** **동**","1477","0001","모*하*츠*","202003",10000,40,6692,68,"2003",29.85,2
"1171010500102720016","202007","11350-100214335","11560-100225821","서**별**강** **동**9**6**","3","44.52","서**별**금** **동**","0533","0019","해*밸*","202007",2000,79,3726,68,"2017",59.93,4
"1141011900103350026","202006","11290-22727","11680-100222340","서**별**송** **동**4**번**","2","57.36","서**별**양** **","0508","0014","다*빌*","202011",3000,65,4539,73,"2018",46.56,3
"1174010900102330032","202004","11500-100222394","11260-100219792","서**별**구** **동**8**1**","2","29.33","서**별**관** **동**","0160","0000","위*하*스*4*0*3*","201908",10000,60,4494,55,"1993",59.88,5
"1174010700105120008","202012","11590-100223085","11290-100256353","서**별**송** **동**1**번**","5","23.25","서**별**금** **동**","0353","0018","한*주*(*0*1*)","202012",12000,50,5803,41,"1988",33.8,5
"1144012000104820027","202011","11500-1736","11710-100207","서**별**종** **동**3**8**지**","2","78.78","서**별**강** **동**","0190","0072","리*빌","202012",3000,10,3677,92,"2002",43.09,2
"1162010100101480063","202005","11650-10275","11380-100287002","서**별**강** **동**4**6**","1","68.61","서**별**동** **동**","0227","0017","유*온*라","202106",10000,20,4943,71,"2003",43.28,7
"1123010600103930004","202007","11215-100234134","11590-100220053","서**별**강** **동**6**3**지**","2","44.19","서**별**강** **동**","0159","0013","브*운*톤*","202103",5000,20,2206,72,"2017",35.78,2
"1150010300104510015","202104","11710-17523","11545-100194692","서**별**강** **동**6**4**지**","1","74.91","서**별**은** **동**","0061","0113","보*매*","202104",4000,85,7995,189,"2016",65.32,2
"1171010400100430003","202101","11470-100218354","11710-63344","서**별**강** ** **3**번**","5","26.93","서**별**은** **동**","0854","0013","휴*빌*6*0*2*3*","202004",7000,75,5615,120,"1996",51.39,7
"1171010800100250005","202009","11680-732","11530-85137","서**별**서** **동**8**3**","2","38.02","서**별**구** **동**","0955","0014","경*빌*2*","202002",2000,55,9026,50,"2015",46.44,2
"1153011000100440001","202007","11590-100229786","11500-75206","서**별**송** **동**8**번**","2","51.54","서**별**서** **동**","0171","0033","동*빌*","202002",16000,68,5210,61,"2015",53.07,1
"1168010100106810024","202010","11470-100219184","11110-37018","서**별**강** ** **8**번**","4","54.99","서**별**금** **동**","0009","0013","콘*르*","202001",2000,60,5820,42,"2013",60.06,3
"1121510100101260037","202006","11260-100220783","11305-70208","서**별**강** **동**9**7**지**","2","39.31","서**별**강** **동**","0470","0060","인*시*","202001",2000,45,6837,62,"2017",26.59,4
"1129013300104020090","202004","11500-100263615","11200-100213723","서**별**중** **동**3**6**","3","41.42","서**별**구** **동**","0931","0019","신*","201908",2000,50,5137,65,"2012",55.96,2
"1150010300108610033","202012","11740-100253006","11740-100242676","서**별**광** **동**7**번**","2","31.025","서**별**은** **동**","0078","0002","대*빌*","202002",1000,75,5571,58,"2017",50.42,4
"1138010500100250002","202004","11380-100260540","11410-100196746","서**별**종** **동**7**지**","2","48.67","서**별**구** **","1134","0015","월*빌*차","202005",3000,70,6315,42,"2008",57.31,4
"1153010600102500131","202004","11740-731","11710-100235379","서**별**은** **동**7**1**","5","42.94","서**별**양** **동**","0473","0031","리*트","202105",1000,125,5098,73,"2014",52.2,3
"1150010300104880041","202102","11470-7397","11710-164740","서**별**도** ** **5**번**","2","55.46","서**별**송** **동**","0316","0008","(*6*8*3*)","202009",4000,110,5344,65,"2000",44.23,3
"1132010500105080024","202103","11500-11753","11380-100252452","서**별**강** **동**4**2**지**","1","61.08","서**별**동** **동**","0024","0034","국*쉐*빌","202001",8000,45,5000,47,"1987",28.205,4
"1138010900100130033","202009","11440-100223038","11470-100212609","서**별**강** **동**9**1**0**","2","15.29","서**별**노** **동**","1045","0001","브*엘*라","202104",3500,40,5640,54,"2018",46.43,3
"1168010100107740024","202102","11710-100493823","11500-100227436","서**별**송** **동**3**3**","2","29.98","서**별**마** **동**","0864","0004","대*동*딩","202106",2000,45,5068,48,"2002",69.48,3
"1150010300103670003","202010","11740-100258408","11710-100473422","서**별**강** **동**5**4**지**","3","41.14","서**별**도** **동**","0330","0016","정*홈*운","202011",2000,60,7422,71,"2019",29.82,3
"1147010300105160001","202012","11710-8111","11710-93132","서**별**강** **동**3**3**","1","29.87","서**별**강** **동**","0761","0097","브*운*","202008",3000,60,4160,24,"2012",35.27,2
"1138010900100050050","202010","11680-13060","11710-60853","서**별**강** **동**0**8**지**","1","70.26","서**별**성** **동**","0046","0015","월*빌*A*B*)","202003",17000,40,3697,48,"1990",52.89,4
"1174010300101730000","202002","11230-100246821","11380-100271361","서**별**동** **동**9**6**지**","3","57.19","서**별**중** **동**","0391","0082","정*운*","202007",10000,50,8901,56,"1985",43.54,3
"1144012500100500015","202008","11440-100182424","11290-126457","서**별**구** ** **3**1**","2","29.98","서**별**서** **동**","0291","0003","계*빌","202102",11000,50,5725,63,"2004",57.74,4
"1121510500102270279","202105","11620-100268004","11500-100266042","서**별**강** **동**7**3**지**","1","27.67","서**별**구** **","0065","0023","예*팰*스*8*차*1*2*1*3*","202011",13000,50,7634,57,"2015",29.71,2
"1150010300101050374","202103","11440-100182102","11530-100222558","서**별**관** **동**7**-**지**","1","53.16","서**별**서** **동**","1233","0056","대*빌*지","202008",2000,4,2583,63,"2002",46.68,6
"1138010500101730001","202005","11530-100208124","11500-100199555","서**별**구** ** **3**1**","5","63.87","서**별**송** **동**","0394","0057","태*아*리*(*3*2*)","202105",1000,60,5135,55,"2016",42.64,2
"1159010200101590037","202006","11545-3572","11710-100236814","서**별**강** **동**4**4**","1","49.72","서**별**관** **동**","0616","0002","삼*중*빌*","202104",10000,35,5762,60,"2016",50.2,5
"1130510300104680263","202006","11500-3587","11170-100218107","서**별**동** **동**0**5**지**","4","47.28","서**별**양** **동**","0660","0090","금*블*(*-*1*","202009",10000,70,5805,57,"2016",38.01,6
"1117011100101180162","202104","11710-4865","11545-100198290","서**별**강** **동**4**2**","3","44.17","서**별**동** **동**","0249","0014","콘*르*","202102",1000,1,7746,31,"2002",31.15,2
"1165010100110020003","202005","11710-100472562","11440-100250375","서**별**송** **동**6**번**","2","68.53","서**별**강** **동**","1652","0014","예*홈*운","202007",17500,50,6878,64,"2018",28.245,3
"1147010300101220006","202003","11680-4205","11740-104211","서**별**강** **동**4**9**지**","4","42.435","서**별**강** **동**","0313","0029","(*6*-*)","201911",5000,49,5261,67,"2015",29.55,2
"1174010900100480008","202003","11710-100529142","11440-100184575","서**별**영**구**평**가**6**번**","1","44.92","서**별**양** **동**","0299","0000","근*파*빌","201907",16000,30,4165,41,"2016",35.7,5
"1154510100101500014","202105","11500-1737","11305-37338","서**별**동** **1**4**번**","1","60","서**별**은** **동**","0293","1984","브*운*","201910",2000,55,7754,36,"2016",42.98,3
"1153010900102130021","202101","11710-10160","11110-48493","서**별**관** **동**5**-**번**","3","23.56","서**별**영**구**길**","0051","0008","목*베*트*","201909",20000,80,5460,44,"2012",52.48,2
"1168010100106970040","202009","11590-100212999","11215-100211792","서**별**송** **동**0**4**","5","49.76","서**별**중** **동**","0166","0035","우*연*(*1*4*7*","202105",500,60,3907,53,"2015",55.96,4
"1117010100102440102","202003","11710-100479363","11530-109688","서**별**구** ** **4**2**","1","47.78","서**별**강** **동**","0005","0013","헤*티*","201907",8000,50,6656,52,"2011",47.88,2
"1138010400104740009","202012","11320-100210664","11305-73786","서**별**서** **동**4**4**","1","59.82","서**별**노** **동**","0069","0033","하*캐*","202006",17000,25,7163,64,"2015",17.46,2
"1162010100107110016","202010","11500-100197154","11290-100199237","서**별**송** **동**5**1**지**","1","51.82","서**별**노** **동**","0192","0020","아*빌","201908",23000,5,9942,60,"2015",28.83,3
"1150010900105930063","202010","11290-100231095","11305-100212674","서**별**관** **동**6**-**지**","1","42.38","서**별**노** **동**","0504","0001","일*빌*","202007",9000,50,8096,45,"2013",47.71,4
"1150010300110170039","202010","11380-100252132","11500-100184306","서**별**서**구**제**1**-**지**","4","72.72","서**별**성** **동**","0733","0145","바*빌","202106",15000,32,2890,115,"2013",43.09,3
"1168010100106970040","202009","11215-100219968","11560-100209835","서**별**은** **동**9**0**","1","28.98","서**별**송** **동**","0196","0007","청*언*","201911",5000,10,6287,72,"2002",43.54,2
"1138010700100860028","202002","11500-100251853","11410-100183070","서**별**송** **동**7**번**","5","58.17","서**별**강** **동**","0858","0004","로*하*스","202009",5000,70,9082,63,"2013",38.78,2
"1165010200102800011","202103","11530-3190","11530-129836","서**별**구** ** **3**1**","3","61.87","서**별**양** **동**","0004","0005","송*안","202008",5000,32,6481,51,"2009",39.08,2
"1111018400101290044","202006","11260-100252574","11680-100255872","서**별**송** **동**0**번**","3","58.74","서**별**동** **동**","0001","0009","장*","202105",4000,50,5742,71,"2002",47.84,2
"1154510200110150004","202011","11710-9941","11440-100244283","서**별**송** **동**0**지**","1","40.84","서**별**강** **동**","0299","0002","동*스*이*티*","201907",23000,39,5806,57,"2008",50.2,3
"1150010200105330009","202008","11500-100255593","11530-41042","서**별**종** **동**5**지**","3","43.65","서**별**강** **동**","0051","0001","인*시*빌*5*3*1*)","201907",18000,60,6372,70,"2012",40.81,3
"1147010100109520009","202008","11680-100265336","11110-35558","서**별**송** **동**2**2**","5","48.12","서**별**동** **동**","0028","0002","더*라*","202102",15000,60,4127,18,"2016",39.63,3
"1171010800101150013","202104","11710-19925","11230-100242963","서**별**송** **동**0**4**","2","30.07","서**별**강** **동**","1045","0011","궁*빌*","202104",300,40,4366,59,"1985",51.27,2
"1130510100101300104","202001","11740-100241177","11320-24329","서**별**송** **동**2**번**","1","22.19","서**별**강** **동**","0220","0002","인*타*","201910",0,10,2827,64,"2015",78.52,3
"1168010600109540014","202001","11545-100234809","11545-69298","서**별**도** **동**6**번**","1","29.61","서**별**서** **동**","0120","0006","브*뉴*","201908",1400,70,6201,82,"2003",30.03,3
"1121510100101110029","202012","11110-2248","11680-66672","서**별**광** **동**2**지**","2","40.37","서**별**송** **동**","0110","0038","대*빌*-*","202104",8000,50,5699,47,"2004",45.09,2
"1174010900102170061","202006","11380-100256116","11740-100178464","서**별**강** **동**1**-**지**","1","38.23","서**별**성** **동**","0978","0032","쉐*","202009",5000,80,3770,40,"2015",26.29,3
"1153010900102130021","202104","11545-100245271","11320-100204684","서**별**양** ** **4**0**지**","5","24.13","서**별**광** **동**","0926","0069","이*채*나*)","202009",2000,50,6038,91,"2017",38.12,2
"1123010600104380005","202005","11500-100196653","11500-107257","서**별**중** **동**0**5**지**","4","29.73","서**별**성** **동**","0124","0011","청*와*션","202103",26000,10,5860,30,"1985",29.58,6
"1132010700105850011","202104","11260-100238496","11710-100512027","서**별**은** **동**5**5**","5","52.34","서**별**동** **동**","0954","0135","꿈*지*(*6*-*)","202102",1000,40,7068,73,"2002",38.88,3
"1129012300101300005","202011","11710-100508553","11500-100200418","서**별**마** **동**1**지**","2","42.61","서**별**중** **동**","0533","0097","J*J*빌","202005",25000,55,6822,39,"2019",53.01,2
"1171010800100220008","202011","11710-100499621","11380-100271791","서**별**구** **동**5**1**지**","2","52.07","서**별**강** **동**","1124","0045","성*수*채","202101",2000,60,7531,58,"2016",49.56,3
"1153010900102130021","202006","11380-33209","11710-100242043","서**별**종** **1**5**9**","4","57.84","서**별**은** **동**","0326","0050","H*먼*(*0*5*1*","202010",16000,40,5020,60,"2019",56.2,4
"1171010400100090017","202005","11620-18521","11590-100181526","서**별**강** **동**7**1**지**","1","41.76","서**별**양** **동**","0785","0000","세*아*빌*차*B*","202102",2500,30,7637,41,"2015",47.35,3
"1126010100101370005","202105","11440-100254824","11710-100516542","서**별**관** **동**6**2**","1","41.34","서**별**서** **동**","0827","0018","대*타*","202011",2000,70,5696,79,"1996",53.52,3
"1153010800100680021","202009","11740-14512","11710-84310","서**별**강** **동**9**4**7**","1","28.11","서**별**금** **동**","0190","0045","이*아*빌*2*","202006",80,125,5371,53,"2004",81.96,2
"1171010400101320000","202009","11260-100237138","11290-100181468","서**별**강** **동**9**2**","1","83.16","서**별**서**구**가**","0019","0016","주*해*빌","202009",500,68,4118,43,"1993",38.78,3
"1138010900100300035","202009","11500-100235969","11710-100499043","서**별**송** **동**0**1**지**","3","28","서**별**구** **","0354","0005","미*연*5*","202001",34000,50,5046,38,"2016",40.81,1
"1141012000103220014","202002","11215-100226430","11740-100232711","서**별**강** **동**9**1**3**","2","50.32","서**별**관** **동**","0029","0000","영*빌*5*","202003",18500,40,4920,62,"2001",68.2,5
"1154510300109550007","202009","11590-100222758","11230-100225767","서**별**강** **동**6**2**지**","5","48.04","서**별**동**구**안**","0414","0031","이*주*","201907",5000,40,4331,44,"2011",62.38,1
"1138010500100250051","202005","11710-23204","11305-100197140","서**별**강** **동**5**1**지**","2","31.73","서**별**중** **동**","1006","0007","시*맨*빌","202104",9000,42,8454,43,"1991",46.56,2
"1171010600100990007","202104","11320-100207998","11380-100277602","서**별**동** **동**7**2**번**","1","52.87","서**별**양** **","0128","0027","밀*우*","202006",5000,50,7990,66,"2016",51.73,1
"1153011000101560000","202009","11680-14537","11170-83928","서**별**강** **동**6**5**지**","4","43.03","서**별**송** **동**","0382","0001","대*파*타*","201911",10000,100,5237,44,"2018",29.99,3
"1165010100107940028","202008","11740-100258457","11650-100260036","서**별**구** **동**4**4**지**","3","47.38","서**별**서** **동**","0342","0017","대*파*타*","202002",20000,40,5335,65,"1991",68.25,2
"1144012300104860034","202012","11710-100499475","11380-110512","서**별**노** **동**0**-**번**","2","29.92","서**별**중** **동**","0293","0015","태*빌*지*2*8*2*)","201910",7000,50,11068,45,"2007",16.5,3
"1171010100102350015","202006","11215-14376","11500-100314705","서**별**은** **동**2**2**","1","27.35","서**별**은** **동**","0003","0010","대*빌* *차","201908",3000,60,4131,66,"1985",29.58,5
"1153011000100070005","202101","11350-100192553","11590-100231710","서**별**송** **동**4**번**","5","29.95","서**별**노** **동**","0607","0011","그*홈","201907",5000,50,4678,73,"2017",48.66,1
"1141012000103280037","202105","11470-100216466","11620-105119","서**별**도** **동**3**지**","2","186.65","서**별**성** **동**","0229","0012","해*치*(*9*-*4*","202012",200,50,9424,36,"2016",59.21,10
"1153011200100010000","202010","11545-11210","11710-85790","서**별**관** **동**7**8**지**","5","39.595","서**별**강** **동**","0158","0000","(*7*-*)","202008",2000,10,8717,46,"1984",62.38,3
"1174010700104910001","202011","11620-100244487","11305-80636","서**별**송** **동**7**5**","2","53.38","서**별**도** **동**","0741","0008","선*뉴*드*숀*1*2*2*)","202012",5000,40,7197,46,"2001",29.99,2
"1168010100107320010","202004","11470-100211617","11530-102778","서**별**강** **동**4**3**지**","4","56.28","서**별**구** **","0496","0002","바*하*스","201910",29400,15,7974,51,"2003",53.9,6
"1171010500102320019","202104","11545-100200149","11620-100192499","서**별**광** **동**4**3**지**","4","58.02","서**별**강** **동**","0502","0002","동*재","202102",32000,25,5548,91,"2004",65.44,3
"1174010900105740000","202009","11710-100468363","11530-100243077","서**별**성** **동** **6**1**지**","3","57.67","서**별**금** **동**","0667","0018","대*빌*","202001",2000,45,36979,52,"2017",23.58,2
"1138010900100330004","202101","11530-100237814","11470-100212635","서**별**도** **동**1**지**","4","48.58","서**별**은** **동**","0258","0024","(*4*-*2*","202011",3000,70,4289,71,"2013",26.88,3
"1168010100107740033","202002","11110-23080","11545-100233629","서**별**강** **동**2**1**","1","19.87","서**별**은** **동**","0410","0002","현*그*빌","202102",2000,30,7782,80,"2012",56.556,2
"1150010300101590020","202009","11260-100225073","11380-100251093","서**별**은** **동**7**2**","4","28.97","서**별**강** **동**","1083","0016","현*레*나","202010",2000,100,4950,58,"2015",43.95,3
"1174010100102070000","202008","11500-100197023","11380-100274495","서**별**강** **동**7**2**지**","1","59.9","서**별**구** **동**","0774","0032","로*하*츠*9*-*3*)","202007",12000,35,3895,50,"1981",29.935,2
"1153010900101470017","202001","11740-100242144","11500-100265042","서**별**노** **동**0**-**지**","1","14.04","서**별**광** **동**","0635","0003","C*아*채*1*지*","202010",2000,60,7490,79,"1997",50.245,2
"1135010300105890009","202104","11500-27710","11710-150035","서**별**강** **동**2**3**지**","2","44.48","서**별**동**구**안**","0494","0003","두*빌*","202001",5000,60,4424,32,"2016",49.16,3
"1153011000100440001","202008","11230-100214175","11710-165102","서**별**구** ** **3**1**","3","59.15","서**별**동** **동**","0504","0195","미*빌*트","202004",2000,29,5097,46,"2015",56.39,5
"1138010500100170021","202012","11680-100258290","11545-58955","서**별**관** **동**0**-**번**","1","52.47","서**별**구** **동**","0462","0000","로*빌","202105",1000,60,6930,30,"2001",29.94,4
"1171010700100060006","202001","11320-100205364","11710-77217","서**별**송** **동**1**9**","1","48.12","서**별**구** **","0429","0003","성*그*빌","202008",5000,60,6577,84,"2012",51.1,3
"1162010100115150006","202012","11710-100531862","11260-100186676","서**별**송** **동**3**6**","1","29.79","서**별**강** **동**","0693","0000","경*빌*","201911",2000,50,14137,89,"2002",29.97,6
"1121510500106380012","202104","11590-100186790","11545-34279","서**별**은** **동**0**7**","1","25.5","서**별**성** **동**","0094","0024","진*펠*체","202104",6000,5,5818,37,"2019",53.79,2
"1144012300104560004","202009","11710-100499475","11710-100481373","서**별**은** **동**4**6**","4","76.08","서**별**도** **동**","0115","0000","G*n*g*n*1*t","201910",13000,60,4619,106,"2001",51.27,2
"1147010200105000021","202102","11380-100260495","11530-129828","서**별**동**구**안**3**-**번**","4","28.42","서**별**강** **동**","0070","0024","현*그*빌","201907",10000,30,5153,77,"2008",54.6,4
"1147010200107160015","202007","11230-100228668","11260-100223947","서**별**용** **동** **5**번**","1","58.69","서**별**마** **동**","0451","0069","한*팰*스*5*9*7*","202005",2000,60,5267,63,"2019",51.17,2
