"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","경도(LNG)","위도(LAT)","건물이름(BLDNAME)","(건물)동이름(DONGNAME)","주용도코드(JYONGDO_CODE)","주용도명(JYONGDO)","대지면적(DJAREA)","건축면적(GCAREA)","건폐율(GPRATE)","연면적(YAREA)","지상연면적(JSYAREA)","용적률(YJRATE)","건물높이(HIGH)","지상_층수(JSFLOOR)","지하_층수(JHFLOOR)","세대_수(SEDECNT)","사용_승인일(SYDATE)","건축년도(BUILDYEAR)","지역지구(JYJG)","전세시세_산정_세대_수(HO_COUNT1)","월세시세_산정_세대_수(HO_COUNT2)"
"1147010100108940007","202104","11470-14611","서**별**중** **동**2**","11230","10100","1","0102","0005",126.971931398453,37.613826295897,"","","02000","공동주택",142.5,53.46,59.41,659.9,164.18,0,14.85,5,1,8,"19910211","0","일반주거지역",8,10
"1150010300111150002","202104","11290-21873","서**별**광** **동**5**3**","11710","10600","1","0013","0015",126.911530972261,37.578578938402,"해*해*름*차","해솔팰리스","02000","공동주택",161.08,197.65,56.35,658.8,492.39,110.17,13.28,5,1,16,"20160512","0","제3종일반주거지역",8,8
"1130510400101100002","202001","11350-14153","서**별**동**구**두**1**-**9**","11260","10400","1","0003","0001",126.904502212106,37.552570802474,"진*하*빌*동","","02000","공동주택",96,168.5,58.72,433.17,337.03,221.47,13.7,4,1,5,"19741230","2008","일반주거지역",10,15
"1153010700103180010","202006","11710-18728","서**별**양** **동**2**2**","11530","12800","1","0651","0017",126.985948419909,37.642692573648,"","","02000","공동주택",366.8,93.84,43.58,659.22,489.86,0,14.2,4,1,14,"20021108","2015","일반주거지역",8,11
"1147010300100110021","202009","11590-28606","서**별**성** **동**9**2**","11350","10100","1","0001","0385",126.965288071789,37.6279352383414,"파*빌","","02000","공동주택",528.3,149.83,0,566.61,418.16,171.3,17.65,4,1,14,"20020709","2012","도시지역",5,16
"1132010700106240017","202012","11530-8025","서**별**강** **동**6**2**","11170","10100","1","0147","0004",126.998000260943,37.644472668878,"상*미*","월드씨티빌B","02000","공동주택",399,91.98,59.98,497.84,210.52,96.21,14.44,4,0,10,"19890111","0","일반주거지역",10,8
"1121510100102420038","202004","11680-1141","서**별**송** **동**-**","11650","10600","1","0432","0040",127.116033772392,37.4535937144998,"루*","","02000","공동주택",137,93.37,58.45,631.64,439.05,199.7,15.9,6,1,8,"20170524","0","제2종일반주거지역",16,10
"1147010300104190001","202103","11215-100227730","서**별**금** **동**9**2**","11260","10300","1","0343","0006",126.859469263908,37.497012478232,"광*주*","","02000","공동주택",256.51,149.52,54.49,627.69,654.76,177.57,10.5,4,0,8,"20020925","2009","제1종일반주거지역",7,5
"1144010900104880013","202003","11470-11545","서**별**중** **동**1**1**","11410","10100","1","0698","0013",126.921458647978,37.541938837434,"","","02000","공동주택",445.5,156.48,58.09,808.61,998.8,0,12.75,2,0,4,"20020906","0","일반주거지역",8,0
"1114016200104070003","202105","11380-33099","서**별**서**구**제**1**-**","11320","10900","1","1466","0108",126.831695233319,37.474450318035,"안*레*빌*","","02000","공동주택",227.5,181.08,58.77,570.7,344.46,0,11.65,2,0,9,"20030130","2k07","",7,23
"1117011800100990003","202007","11380-29854","서**별**마** **동**7**1**","11305","10500","1","0098","0004",126.908211318534,37.620486038724,"","","02000","공동주택",213.4,71.62,59.98,545.8,308.92,228,25.3,6,0,8,"19970318","0","일반주거지역",2,6
"1138010100100320006","202012","11410-17612","서**별**동**구**두**2**-**","11740","10100","1","1002","0053",126.839230947692,37.5452968820261,"","","02000","공동주택",208.6,125.29,0,783.38,542.18,190.24,12.75,5,2,6,"20191224","0","도시개발구역",11,0
"1150010300104100196","202011","11590-14549","서**별**강** **동**8**5**","11710","10700","1","0365","0014",126.944695792293,37.538430909505,"","B동","02000","공동주택",233,201.88,11.26,1223.78,182.16,147.44,0,4,0,7,"20080714","0","",7,8
"1174010100103120171","202002","11440-21312","서**별**중** **동**6**0**","11440","10100","1","0319","0033",126.86021433697,37.5972322003586,"","","02000","공동주택",249.47,260.83,51.56,415.77,257.47,99.17,13.2,4,0,8,"19901006","0","제1종일반주거지역",9,6
"1159010800103350009","202008","11530-100227585","서**별**양** **동**0**4**","11590","10700","1","0286","0461",126.933452433126,37.6497441070923,"","","02000","공동주택",136.4,71.48,49.45,630.74,475.52,149.76,12.6,4,1,8,"20080611","0","일반주거지역",8,8
"1162010200116140030","202006","11215-100250690","서**별**금** **동**9**3**","11620","10300","1","0109","0020",127.049265060382,37.544003226196,"M*H*크*","","02000","공동주택",205.64,168.65,59.62,153.12,410.95,193.59,15.88,5,0,7,"19970510","0","",6,16
"1144012500100030009","202006","11590-20422","서**별**서**구**희**9**2**","11260","10300","1","0751","0058",127.011890583478,37.61668754936,"","","02000","공동주택",241,176.22,56.93,522.72,715.58,194.97,11.88,6,0,17,"19990624","2016","제2종일반주거지역",14,7
"1150010800106640002","202003","11380-100223916","서**별**강** **동**5**1**","11260","11100","1","0013","0161",127.126556199861,37.5473063754561,"시*하*B*","","02000","공동주택",376.3,120,59.93,399.85,693.23,221.09,13.58,6,1,6,"19740604","0","일반주거지역",12,6
"1165010100109280025","202011","11110-9788","서**별**강** **동**2**2**","11140","10200","1","0125","0066",127.005075919665,37.549324815837,"","","02000","공동주택",224.7,0,59.57,556.13,133.86,206.53,0,5,0,28,"20020823","0","제2종일반주거지역",15,8
"1138010500103170023","202011","11620-13957","서**별**강** **동**3**2**","11170","10200","1","0644","0011",126.932712349233,37.59847735276,"","","02000","공동주택",200.1,205.94,43.59,446.84,530.4,149.34,11.7,6,1,9,"20170601","2018","일반주거지역",8,6
"1162010100101960355","202101","11620-100238472","서**별**금** **동**0**7**","11380","10800","1","0750","0068",126.908454726132,37.6451369943166,"","","02000","공동주택",1180.3,96.08,49.05,1308.19,522.36,81.58,0,4,0,9,"19970910","0","일반주거지역",3,8
"1154510300109260041","202104","11470-18027","서**별**구** **동**7**3**","11305","10800","1","0016","0036",127.089153993882,37.5202690720355,"","","02000","공동주택",152,192.83,59.53,652.99,346.18,0,18.8,6,1,12,"20111104","0","",13,8
"1174010800104350027","202011","11110-100204306","서**별**관** **동**1**1**","11500","10300","1","0312","0004",126.863397443763,37.633321397281,"신*힐*운","","02000","공동주택",331.9,82.85,65.73,453.39,701.55,100.99,0,5,0,6,"20130529","2015","",6,0
"1171010500102190008","202006","11530-4325","서**별**구** **동**4**1**","11215","10600","1","0256","0003",126.91771775952,37.543832396884,"","","02000","공동주택",422.5,186.03,59.85,705.9,811.77,181.47,0,4,1,7,"20021112","0","제2종일반주거지역",7,4
"1117011100101320026","202101","11710-100479602","서**별**강** **동**2**1**","11650","10600","1","0839","0025",126.871132504087,37.655244936978,"가*울*라","","02000","공동주택",206.9,115.04,59.03,345.66,547.5,164.53,19.78,5,1,10,"19931108","2002","제2종일반주거지역",8,7
"1153010800102170011","202010","11260-100226612","서**별**노** **동**5**2**","11740","10100","1","1349","0002",126.836487993466,37.486514106788,"","A동","02000","공동주택",185,81.72,59.11,955.84,198.67,149.23,14.25,4,1,10,"19910729","2017","제2종일반주거지역",8,12
"1132010600106850034","202011","11350-14735","서**별**용** **로** **-**","11650","10300","1","1054","0010",127.117138774208,37.537371020874,"복*빌*","","02000","공동주택",271,192.03,59.62,539.88,373.2,194.15,13.3,5,1,6,"19940519","2011","",4,12
"1121510700100470008","202009","11410-10054","서**별**구** ** **8**","11500","10100","1","1011","0027",126.838030195333,37.498094554953,"","","02000","공동주택",170.9,153.6,59.92,476.13,824.98,159.28,12.8,5,0,8,"20040424","0","제1종일반주거지역",8,7
"1153010300101340071","202012","11215-100182172","서**별**은** **동**8**3**","11545","13300","1","0657","0008",126.927277547994,37.5013924587739,"진*휴*빌","","02000","공동주택",223.5,147.94,58.75,348.9,353.34,228.95,0,5,1,5,"20160222","2015","제2종일반주거지역",8,18
"1138010300103300010","202103","11470-17410","서**별**강** **동**8**4**","11710","10500","1","0089","0060",127.093218355818,37.468403355458,"","","02000","공동주택",233.91,308.79,55.11,139.66,739.85,181.37,0,5,1,17,"19860729","2014","일반주거지역",8,7
"1147010300103310055","202005","11260-100208818","서**별**관** **동**5**-**","11410","10600","1","0015","0032",126.936234446804,37.542815502571,"","","02000","공동주택",157,185.66,0,249.81,327.12,192.73,14.7,3,0,12,"19930817","0","일반주거지역",8,13
"1165010200100850004","202009","11650-100243974","서**별**관** **동**8**7**","11110","10100","1","0235","0023",127.080728039588,37.573967976848,"","","02000","공동주택",105.66,137.86,59.41,810.39,528.71,188.67,15.7,2,1,7,"19940715","2019","제2종일반주거지역",5,10
"1162010100115330034","202104","11380-100247086","서**별**금** **동**0**-**","11215","10100","1","0663","0002",127.093417279714,37.503958743616,"가*빌","","02000","공동주택",2139.7,183.24,59.71,483.98,523.75,220.83,0,2,0,8,"19921230","0","일반주거지역",4,24
"1154510200108870021","202009","11710-13827","서**별**송** **동**2**4**","11710","10700","1","0439","0000",126.905185686349,37.5417698399645,"해*그*드*","C동","02000","공동주택",301.19,219,27.05,696.18,150.06,178.61,19.7,4,1,4,"20020409","0","제2종일반주거지역",8,7
"1126010200101210006","202012","11500-100266046","서**별**은** **동**0**4**","11380","10300","1","1513","0000",126.905416805693,37.550964879892,"","","02000","공동주택",268.5,109.57,59.29,391.29,0,241.12,13,5,0,11,"19911212","2008","",21,7
"1165010100107780029","202007","11680-4616","서**별**서**구**가** **2**","11500","10300","1","1613","0058",126.912045381626,37.481381814262,"","","02000","공동주택",94.3,109.74,59.53,273.1,0,185.32,14.8,6,1,8,"20011217","0","일반주거지역",5,10
"1174010700104840047","202004","11110-10819","서**별**구** **동**9**2**","11320","11300","1","0081","0007",126.908718079751,37.5739110480903,"그*아*빌","B동","02000","공동주택",224.5,184.23,48.62,297.97,368.86,187.65,14.95,5,1,8,"20011227","2003","제1종일반주거지역",3,8
"1147010200107110013","202009","11680-10689","서**별**서** **동**-**","11230","10100","1","0671","0012",127.020564845147,37.49375486099,"더*린*신*","11동","02000","공동주택",526.9,171.76,59.64,318.42,0,147.13,13.2,5,1,0,"19861212","0","제2종일반주거지역",12,6
"1147010100102810010","202012","11560-29280","서**별**강** **동**0**1**","11590","10600","1","0092","0040",126.936758035464,37.513449007116,"삼*베*트*","","02000","공동주택",267.6,0,54.26,662.53,589.94,105.45,0,5,0,8,"20040923","2015","",2,6
"1150010300104240025","202006","11590-27848","서**별**구** **동**4**3**","11410","10100","1","0500","0073",127.059477736473,37.609761435362,"","","02000","공동주택",203,164.25,51.83,994.35,517.38,223.28,12,3,0,8,"20131105","0","일반주거지역",8,12
"1129013900102060008","202006","11620-751","서**별**광** **동**8**0**","11680","11400","1","0173","0032",126.962634095863,37.524376930504,"이*스*임","","02000","공동주택",187,0,59.82,2551.22,327.34,0,11,5,1,5,"19811024","0","제2종일반주거지역",6,7
"1168010800101670012","202104","11740-100280242","서**별**은** **동**9**0**","11440","10200","1","0241","0009",127.025044563426,37.6219246839801,"","","02000","공동주택",336.4,0,56.48,656.86,164.88,206.32,13.2,3,1,7,"19921217","0","일반주거지역",7,7
"1130510100107760140","202002","11710-15410","서**별**강** **동**3**2**","11740","10100","1","0656","0060",127.082599834607,37.504502783817,"우*빌*","","02000","공동주택",179.9,174.3,0,318.24,498.77,191.78,12.99,5,1,12,"20140210","2016","제2종일반주거지역",18,8
"1132010500107130043","202001","11710-100505761","서**별**노** **동**8**1**","11590","10100","1","0011","0553",127.031478038498,37.520471505478,"","","02000","공동주택",232,169.92,59.14,424.37,659.1,183.5,19.5,4,0,9,"20030512","2002","제2종일반주거지역",11,8
"1138010400105200031","202104","11380-100217153","서**별**금** **동**4**1**","11350","17000","1","0144","0112",127.063265993333,37.523326398057,"","","02000","공동주택",103.9,186.2,58.96,2110.5,329.87,138.03,0,5,0,8,"20180831","0","",4,11
"1147010200104050238","202009","11290-21825","서**별**중** **동**6**8**","11170","10300","1","0716","0007",126.866499792488,37.534748181818,"","","02000","공동주택",1331,129.6,59.15,199.51,358.92,181.12,14.4,4,0,8,"20060524","0","제2종일반주거지역",3,8
"1144012700100210002","202010","11530-21575","서**별**광** **동**5**1**","11290","10200","1","0521","0089",126.928857973409,37.500993643121,"예*팰*스*8*차","","02000","공동주택",420,72.5,59.94,580.65,1229.68,0,13.2,4,0,11,"20150611","1991","제2종일반주거지역",6,8
"1153010700103320026","202002","11650-6586","서**별**중** **동**9**4**","11410","10100","1","0276","0024",127.09031337428,37.47627338519,"","대림에코빌","02000","공동주택",265.3,88.82,45.32,323.36,180.96,149.84,15,5,1,6,"19990630","0","일반주거지역",10,4
"1120010900100630000","202007","11440-29713","서**별**성** **곡**5**1**","11680","10200","1","0489","0087",127.075923867356,37.613295630744,"엠*운*","","02000","공동주택",390.8,71.59,58.6,243.9,648.02,199.94,12.7,2,0,15,"19921027","0","제2종일반주거지역",1,8
"1162010100116850025","202001","11545-100217057","서**별**광** **동**2**8**","11740","10200","1","0221","0022",127.121924883912,37.55611155606,"","","02000","공동주택",3041.5,175.42,59.98,326.67,665.46,166.2,8.55,3,1,10,"19911120","2015","",8,4
"1138010400104780009","202004","11620-100236844","서**별**양** ** **8**7**","11680","10300","1","0222","0012",127.108184271039,37.5340466670666,"","아드리안빌라 B동","02000","공동주택",159.6,90.95,57.44,531.48,577.51,243.94,14.05,4,1,6,"20060208","2002","제3종일반주거지역",9,8
"1144012200103890011","202104","11380-5689","서**별**강** **동**6**2**","11260","10900","1","0221","0206",126.910872519679,37.544430211124,"다*림","","02000","공동주택",173.8,141.56,59.51,413.07,482.84,198.7,6.4,4,1,9,"20160609","0","",6,2
"1114014600102680000","202101","11260-13630","서**별**송** **동**-**","11740","10300","1","0279","0005",126.99529476382,37.529913176586,"다*대*택*6*대*","","02000","공동주택",1860,141.27,59.71,372.81,96.32,222.79,17.2,4,1,8,"19910114","2006","제3종일반주거지역",4,13
"1154510200110700011","202010","11215-100220177","서**별**양** ** **8**9**","11710","10100","1","0096","0034",126.912491060543,37.50137332348,"루*캐*","","02000","공동주택",200,111.76,59.6,170.68,0,146.98,11.5,4,0,7,"20120215","2003","도시지역",6,8
"1153010900101120003","202002","11380-37014","서**별**양** **동**8**6**","11740","10100","1","0338","0210",126.834357175649,37.492957213063,"","","02000","공동주택",287.3,136.13,59.49,648.86,510.02,221.15,13.25,5,1,6,"20210525","0","",2,6
"1126010100100690026","202105","11260-100230066","서**별**강** **동**8**4**","11740","10600","1","0453","0583",127.083366853653,37.493621084885,"정*빌*","더조은빌 2차","02000","공동주택",258.4,197.76,59.72,356.45,1562.28,187.79,14.8,3,0,19,"20151211","0","제2종일반주거지역",9,9
"1121510900103500024","202003","11440-100218413","서**별**서** **동**0**7**","11545","12400","1","0963","0036",126.912051394116,37.476048915389,"","","02000","공동주택",309.44,107.06,43.15,569.03,635.31,175.64,0,5,1,8,"20000628","2003","제2종일반주거지역",0,0
"1154510200102340036","202002","11680-100282383","서**별**도** ** **2**2**","11470","11100","1","0610","0030",126.946778432279,37.685191662308,"금*펠*스","","02000","공동주택",99.27,0,56.46,659.89,420.89,217.4,13,5,0,10,"20020228","0","제2종일반주거지역",0,16
"1121510100100740059","202007","11500-100226699","서**별**은** **동**5**6**","11500","10300","1","0103","0005",126.989021928145,37.488523840953,"거*노*레*","","02000","공동주택",398.35,108.86,57.42,623.94,395.98,195.84,13.17,4,0,8,"19911121","0","제2종일반주거지역",7,6
"1141011100100050047","202101","11320-4428","서**별**강** **동**9**2**","11590","10800","1","0067","0132",126.956493726911,37.628035263335,"","","02000","공동주택",454.7,102.45,53.6,558.46,571.11,188.14,11.6,4,0,10,"19971212","2007","",8,7
"1171010800101060002","202006","11380-33668","서**별**마** **동**1**","11320","14400","1","1480","0081",126.862505735967,37.578205282216,"명*홈","","02000","공동주택",225,175.25,54.48,659.97,315.51,438.82,12.4,6,0,7,"20191111","2002","제2종일반주거지역",3,14
"1120010800102650099","202001","11440-100278116","서**별**관** **동**4**2**","11500","10300","1","0040","0255",127.079966052991,37.597723018127,"석*미*","","02000","공동주택",191.5,81.42,55.75,909.17,856.47,199.74,14.55,4,1,6,"20040830","2014","",6,4
"1132010600104020011","202101","11650-6111","서**별**동**구**경**4**1**","11545","10500","1","0553","0022",126.923638072683,37.657683420696,"","","02000","공동주택",400.54,0,0,399.03,0,156.9,10.2,5,0,6,"20020802","2019","제2종일반주거지역",8,8
"1126010500101520018","202012","11410-10132","서**별**마** **동**3**3**","11320","10300","1","0715","0000",127.002099963386,37.464921564564,"","","02000","공동주택",172,109.98,57.5,583.08,659.54,225.6,7.2,4,1,4,"20190131","0","제2종일반주거지역",30,8
"1121510500106860055","202003","11410-17682","서**별**중**신** **0**6**","11440","13900","1","0807","0014",127.058787426392,37.485758333484,"","","04000","공동주택",208.2,147.47,51.85,656.07,224.5,175.19,14.7,5,1,16,"20191119","0","준공업지역",11,4
"1121510100101750105","202010","11500-100237922","서**별**금** **동**6**1**","11590","10500","1","0144","0053",127.030079217938,37.587228899048,"세* *트*","B동","02000","공동주택",266,189.23,58.84,924.29,655.88,0,7.6,5,1,28,"20160630","0","제2종일반주거지역",13,6
"1153010600102530313","202003","11470-11125","서**별**양** ** **9**4**","11590","14900","1","0111","0056",126.995836914139,37.516292300843,"금*파*빌","","02000","공동주택",215.2,145.37,59.71,239.22,390.54,107.18,13.7,5,0,8,"20190425","2004","제3종일반주거지역",8,6
"1144012200104550005","202004","11710-100460786","서**별**송** **동**6**9**","11260","11700","1","0258","0003",126.935965220523,37.574675108255,"","","02000","공동주택",334,49.7,50.03,392.09,659.75,198.34,13.85,5,0,4,"20020304","2016","",0,2
"1117010100102440102","202009","11710-100496703","서**별**중** **동**1**4**","11305","18400","1","0436","0038",126.969867491022,37.546145009607,"","","02000","공동주택",93.22,180.6,59.46,976.86,499.22,97.58,0,4,1,5,"20200102","2012","일반주거지역",8,0
"1168010800102680002","202002","11215-8136","서**별**관** **동**5**9**","11680","10800","1","0105","0008",126.937654643394,37.6045332151482,"","","02000","공동주택",152,262.7,0,544.29,528.16,171.95,13.7,3,0,10,"20190731","2012","제2종일반주거지역",8,8
"1130510300105320059","202009","11470-5754","서**별**서**구**희**3**-**9**","11590","10200","1","1048","0204",126.911591311544,37.532196933241,"일*빌*","","02000","공동주택",311.1,76.8,0,186.36,656.47,181.1,10.6,2,0,8,"20150302","2014","제2종일반주거지역",7,8
"1141011800100080427","202105","11500-5397","서**별**구** ** **7**4**","11380","10100","1","0637","1657",127.005513285083,37.483103660584,"선*스*이","","02000","공동주택",192.8,148.74,59.84,911.92,659.84,0,12.35,6,0,8,"19911022","2015","제2종일반주거지역",7,12
"1171011100101310008","202102","11305-100193181","서**별**금** **동**0**","11260","10100","1","0005","0015",126.934467078235,37.543970752905,"은*주*","","02000","공동주택",71.1,139.16,0,644.55,876.69,242.81,10.5,4,1,8,"20151125","0","제2종일반주거지역",13,0
