행정동코드,자치구,행정동,ELDERLY_SCORE
11110730,노원구,상계9동,51
11110740,노원구,상계10동,48
11110760,노원구,상계3·4동,79
11110770,노원구,상계6·7동,63
11110780,노원구,중계2·3동,70
11110790,노원구,공릉1동,68
11120510,은평구,녹번동,66
11120520,은평구,불광1동,72
11120550,은평구,갈현1동,57
11120560,은평구,갈현2동,66
11120570,은평구,구산동,70
11120580,은평구,대조동,61
11120590,은평구,응암1동,57
11120600,은평구,응암2동,63
11120650,은평구,신사1동,60
11120660,은평구,신사2동,62
11120670,은평구,증산동,54
11120680,은평구,수색동,60
11120710,은평구,진관동,74
11120720,은평구,불광2동,75
11120730,은평구,응암3동,65
11120740,은평구,역촌동,68
11130520,서대문구,천연동,65
11130620,서대문구,홍제1동,61
11130640,서대문구,홍제3동,61
11130650,서대문구,홍제2동,66
11130660,서대문구,홍은1동,56
11130680,서대문구,홍은2동,61
11130690,서대문구,남가좌1동,40
11130700,서대문구,남가좌2동,60
11130710,서대문구,북가좌1동,46
11130720,서대문구,북가좌2동,64
11130730,서대문구,충현동,61
11130740,서대문구,북아현동,55
11130750,서대문구,신촌동,58
11130760,서대문구,연희동,67
11140590,마포구,용강동,57
11140600,마포구,대흥동,57
11140610,마포구,염리동,56
11140630,마포구,신수동,61
11140660,마포구,서교동,62
11140680,마포구,합정동,65
11140690,마포구,망원1동,63
11140700,마포구,망원2동,52
11140710,마포구,연남동,53
11140720,마포구,성산1동,49
11140730,마포구,성산2동,68
11140740,마포구,상암동,71
11140750,마포구,도화동,58
11140760,마포구,서강동,60
11140770,마포구,공덕동,66
11140780,마포구,아현동,64
11150510,양천구,목1동,50
11150520,양천구,목2동,61
11150530,양천구,목3동,51
11150540,양천구,목4동,50
11150570,양천구,신월1동,55
11150580,양천구,신월2동,53
11150590,양천구,신월3동,59
11150600,양천구,신월4동,42
11150610,양천구,신월5동,47
11150620,양천구,신월6동,40
11150630,양천구,신월7동,57
11150640,양천구,신정1동,42
11150650,양천구,신정2동,55
11150660,양천구,신정3동,71
11150690,양천구,신정6동,44
11150700,양천구,신정7동,65
11150710,양천구,목5동,54
11150720,양천구,신정4동,65
11160510,강서구,염창동,58
11160520,강서구,등촌1동,46
11160530,강서구,등촌2동,49
11160540,강서구,등촌3동,79
11160550,강서구,화곡본동,63
11160570,강서구,화곡2동,63
11160580,강서구,화곡3동,48
11160590,강서구,화곡4동,62
11160610,강서구,화곡6동,61
11160630,강서구,화곡8동,59
11160751,강서구,가양1동,58
11160650,강서구,가양2동,77
11160660,강서구,가양3동,68
11160670,강서구,발산1동,66
11160690,강서구,공항동,80
11160700,강서구,방화1동,63
11160710,강서구,방화2동,85
11160761,강서구,방화3동,85
11160730,강서구,화곡1동,67
11160740,강서구,우장산동,54
11170510,구로구,신도림동,54
11170520,구로구,구로1동,47
11170540,구로구,구로3동,58
11170550,구로구,구로4동,67
11170560,구로구,구로5동,61
11170610,구로구,고척1동,49
11170620,구로구,고척2동,59
11170640,구로구,개봉2동,60
11170650,구로구,개봉3동,56
11170670,구로구,오류1동,60
11170690,구로구,수궁동,64
11170700,구로구,가리봉동,50
11170710,구로구,구로2동,66
11170720,구로구,개봉1동,62
11170730,구로구,오류2동,69
11170740,구로구,항동,51
11180510,금천구,가산동,69
11180520,금천구,독산1동,70
11180530,금천구,독산2동,58
11180540,금천구,독산3동,65
11180550,금천구,독산4동,55
11180570,금천구,시흥1동,70
11180580,금천구,시흥2동,69
11180590,금천구,시흥3동,61
11180600,금천구,시흥4동,62
11180610,금천구,시흥5동,72
11190540,영등포구,여의동,70
11190550,영등포구,당산1동,56
11190560,영등포구,당산2동,69
11190610,영등포구,양평1동,52
11190620,영등포구,양평2동,62
11190630,영등포구,신길1동,70
11190650,영등포구,신길3동,60
11190660,영등포구,신길4동,58
11190670,영등포구,신길5동,53
11190680,영등포구,신길6동,58
11190690,영등포구,신길7동,57
11190700,영등포구,대림1동,52
11190710,영등포구,대림2동,59
11190720,영등포구,대림3동,57
11190730,영등포구,영등포본동,63
11190740,영등포구,영등포동,71
11190750,영등포구,도림동,57
11190760,영등포구,문래동,52
11200520,동작구,노량진2동,55
11200530,동작구,상도1동,69
11200540,동작구,상도2동,54
11200550,동작구,상도3동,54
11200560,동작구,상도4동,66
11200630,동작구,사당1동,60
11200650,동작구,사당3동,62
11200660,동작구,사당4동,61
11200670,동작구,사당5동,57
11200680,동작구,대방동,68
11200690,동작구,신대방1동,60
11200700,동작구,신대방2동,52
11200710,동작구,흑석동,67
11200720,동작구,노량진1동,69
11200730,동작구,사당2동,77
11210520,관악구,보라매동,56
11210540,관악구,청림동,58
11210570,관악구,행운동,65
11210580,관악구,낙성대동,64
11210610,관악구,중앙동,51
11210620,관악구,인헌동,72
11210630,관악구,남현동,69
11210640,관악구,서원동,58
11210650,관악구,신원동,57
11210660,관악구,서림동,60
11210680,관악구,신사동,56
11210690,관악구,신림동,50
11210710,관악구,난향동,48
11210720,관악구,조원동,52
11210730,관악구,대학동,79
11210780,관악구,은천동,62
11210790,관악구,성현동,68
11210800,관악구,청룡동,66
11210810,관악구,난곡동,68
11210820,관악구,삼성동,75
11210830,관악구,미성동,57
11220510,서초구,서초1동,51
11220520,서초구,서초2동,50
11220530,서초구,서초3동,63
11220540,서초구,서초4동,47
11220550,서초구,잠원동,60
11220560,서초구,반포본동,0
11220570,서초구,반포1동,60
11220580,서초구,반포2동,64
11220590,서초구,반포3동,55
11220600,서초구,반포4동,56
11220610,서초구,방배본동,89
11220620,서초구,방배1동,59
11220630,서초구,방배2동,65
11220640,서초구,방배3동,56
11220650,서초구,방배4동,60
11220660,서초구,양재1동,82
11220670,서초구,양재2동,77
11220680,서초구,내곡동,71
11230510,강남구,신사동,57
11230511,강남구,개포3동,75
11230520,강남구,논현1동,63
11230530,강남구,논현2동,63
11230580,강남구,삼성1동,57
11230590,강남구,삼성2동,68
11230600,강남구,대치1동,38
11230630,강남구,대치4동,54
11230640,강남구,역삼1동,71
11230650,강남구,역삼2동,55
11230660,강남구,도곡1동,55
11230670,강남구,도곡2동,56
11230680,강남구,개포1동,66
11230710,강남구,개포4동,68
11230720,강남구,일원본동,53
11230730,강남구,일원1동,73
11230750,강남구,수서동,86
11230760,강남구,세곡동,80
11230770,강남구,압구정동,66
11230780,강남구,청담동,65
11230790,강남구,대치2동,63
11230800,강남구,개포2동,67
11240510,송파구,풍납1동,58
11240520,송파구,풍납2동,62
11240530,송파구,거여1동,46
11240540,송파구,거여2동,56
11240550,송파구,마천1동,58
11240560,송파구,마천2동,58
11240570,송파구,방이1동,50
11240580,송파구,방이2동,60
11240590,송파구,오륜동,47
11240600,송파구,오금동,68
11240610,송파구,송파1동,54
11240620,송파구,송파2동,44
11240630,송파구,석촌동,58
11240640,송파구,삼전동,58
11240650,송파구,가락본동,63
11240660,송파구,가락1동,49
11240670,송파구,가락2동,56
11240680,송파구,문정1동,47
11240690,송파구,문정2동,47
11240710,송파구,잠실본동,67
11240750,송파구,잠실4동,49
11240770,송파구,잠실6동,42
11240780,송파구,잠실7동,49
11240790,송파구,잠실2동,62
11240800,송파구,잠실3동,52
11240810,송파구,장지동,58
11240820,송파구,위례동,56
11250530,강동구,명일1동,51
11250540,강동구,명일2동,46
11250550,강동구,고덕1동,59
11250560,강동구,고덕2동,67
11250580,강동구,암사2동,57
11250590,강동구,암사3동,55
11250610,강동구,천호1동,61
11250630,강동구,천호3동,64
11250650,강동구,성내1동,46
11250660,강동구,성내2동,62
11250670,강동구,성내3동,55
11250700,강동구,둔촌1동,55
11250710,강동구,둔촌2동,62
11250720,강동구,암사1동,65
11250730,강동구,천호2동,73
11250740,강동구,길동,69
11250750,강동구,강일동,78
11250760,강동구,상일동,62
