구,행정동명,행정동코드,PVI
관악구,서원동,11210640,44
서대문구,남가좌2동,11130700,44
강북구,송중동,11090710,44
송파구,거여2동,11240540,42
구로구,구로4동,11170550,42
은평구,불광2동,11120720,42
성동구,왕십리2동,11040520,42
은평구,신사1동,11120650,42
강동구,성내2동,11250660,42
금천구,시흥5동,11180610,42
영등포구,신길3동,11190650,41
양천구,신월2동,11150580,41
동작구,상도4동,11200560,41
중구,신당5동,11020650,41
구로구,오류1동,11170670,41
은평구,구산동,11120570,40
동대문구,전농1동,11060830,40
중구,청구동,11020720,40
강서구,화곡4동,11160590,40
관악구,서림동,11210660,40
송파구,삼전동,11240640,40
중구,황학동,11020670,40
노원구,하계1동,11110580,39
노원구,월계3동,11110530,39
구로구,고척2동,11170620,39
노원구,중계1동,11110610,39
구로구,개봉1동,11170720,39
은평구,응암2동,11120600,39
도봉구,쌍문1동,11100510,39
중구,약수동,11020710,38
동대문구,장안1동,11060870,38
강서구,화곡3동,11160580,38
양천구,신월5동,11150610,38
은평구,갈현1동,11120550,38
금천구,독산3동,11180540,38
관악구,중앙동,11210610,38
강남구,일원1동,11230730,38
종로구,창신3동,11010690,38
강동구,성내3동,11250670,36
성동구,행당2동,11040570,36
종로구,숭인2동,11010710,36
용산구,청파동,11030710,36
중랑구,면목5동,11070550,36
영등포구,도림동,11190750,36
종로구,숭인1동,11010700,36
성동구,금호2·3가동,11040720,36
관악구,미성동,11210830,36
관악구,행운동,11210570,36
은평구,응암1동,11120590,36
영등포구,신길1동,11190630,35
금천구,시흥1동,11180570,35
광진구,군자동,11050540,35
동대문구,답십리2동,11060860,35
송파구,오금동,11240600,35
동대문구,이문2동,11060900,35
중랑구,면목3·8동,11070720,34
강동구,길동,11250740,34
송파구,장지동,11240810,34
성동구,금호1가동,11040590,34
성동구,왕십리도선동,11040710,34
구로구,가리봉동,11170700,34
송파구,거여1동,11240530,34
성북구,월곡1동,11080710,34
용산구,용문동,11030590,34
용산구,보광동,11030700,33
송파구,석촌동,11240630,33
송파구,방이2동,11240580,33
은평구,신사2동,11120660,33
중구,중림동,11020680,33
중랑구,신내2동,11070700,33
성북구,석관동,11080850,33
노원구,월계2동,11110520,32
양천구,신정2동,11150650,32
강북구,수유1동,11090630,32
양천구,목2동,11150520,32
마포구,공덕동,11140770,32
성동구,송정동,11040690,32
영등포구,신길5동,11190670,32
성북구,보문동,11080610,32
종로구,창신1동,11010670,32
성북구,장위3동,11080780,32
도봉구,창5동,11100630,32
동작구,노량진2동,11200520,31
동대문구,청량리동,11060800,31
중랑구,묵1동,11070640,31
강동구,천호2동,11250730,31
양천구,신월4동,11150600,31
강남구,수서동,11230750,31
도봉구,쌍문4동,11100540,31
서대문구,북아현동,11130740,31
동작구,사당1동,11200630,31
관악구,조원동,11210720,31
성북구,종암동,11080840,31
동대문구,답십리1동,11060910,31
양천구,신월7동,11150630,31
구로구,개봉2동,11170640,31
성북구,삼선동,11080820,31
동대문구,제기동,11060820,31
성북구,정릉1동,11080620,29
송파구,잠실본동,11240710,29
영등포구,대림1동,11190700,29
강남구,대치4동,11230630,29
동작구,사당4동,11200660,29
구로구,개봉3동,11170650,29
강동구,강일동,11250750,29
서대문구,북가좌1동,11130710,29
금천구,시흥2동,11180580,29
마포구,성산2동,11140730,28
강서구,방화1동,11160700,28
중구,다산동,11020700,28
영등포구,영등포본동,11190730,28
광진구,구의2동,11050610,28
용산구,후암동,11030510,28
강서구,화곡6동,11160610,28
영등포구,대림3동,11190720,28
중랑구,면목7동,11070570,28
양천구,신정3동,11150660,28
종로구,교남동,11010580,28
성북구,정릉2동,11080630,27
도봉구,도봉2동,11100650,27
강북구,인수동,11090750,27
송파구,송파1동,11240610,27
마포구,망원2동,11140700,27
양천구,신정7동,11150700,27
마포구,염리동,11140610,27
성동구,마장동,11040540,27
성북구,돈암1동,11080580,27
노원구,상계9동,11110730,27
중랑구,신내1동,11070690,27
노원구,중계4동,11110640,27
은평구,증산동,11120670,27
용산구,남영동,11030530,26
노원구,상계8동,11110720,26
중랑구,망우본동,11070730,26
관악구,난향동,11210710,26
금천구,독산1동,11180520,26
동대문구,용신동,11060810,26
노원구,상계6·7동,11110770,26
영등포구,신길6동,11190680,25
영등포구,영등포동,11190740,25
은평구,녹번동,11120510,25
마포구,성산1동,11140720,25
노원구,월계1동,11110510,25
노원구,상계10동,11110740,25
성북구,길음2동,11080680,25
광진구,중곡4동,11050580,25
마포구,망원1동,11140690,25
서대문구,홍제1동,11130620,25
동작구,신대방1동,11200690,24
동작구,대방동,11200680,24
마포구,아현동,11140780,24
동대문구,휘경2동,11060730,24
서초구,반포본동,11220560,24
영등포구,대림2동,11190710,24
동대문구,이문1동,11060890,24
강동구,둔촌1동,11250700,24
광진구,자양4동,11050670,24
구로구,고척1동,11170610,24
동대문구,전농2동,11060840,24
성북구,길음1동,11080660,24
양천구,신월6동,11150620,24
중구,신당동,11020690,24
관악구,청룡동,11210800,24
영등포구,당산1동,11190550,24
성동구,성수2가1동,11040670,24
서대문구,홍은2동,11130680,22
구로구,오류2동,11170730,22
관악구,인헌동,11210620,22
강서구,발산1동,11160670,22
중구,동화동,11020730,22
강동구,성내1동,11250650,22
마포구,도화동,11140750,22
강서구,등촌2동,11160530,22
동작구,상도1동,11200530,22
송파구,문정1동,11240680,22
송파구,가락2동,11240670,22
강남구,논현1동,11230520,21
성북구,동선동,11080830,21
서대문구,홍제2동,11130650,21
송파구,방이1동,11240570,21
동대문구,휘경1동,11060720,21
성동구,행당1동,11040560,21
광진구,자양2동,11050650,21
도봉구,창1동,11100590,21
송파구,가락본동,11240650,21
강동구,명일1동,11250530,21
동작구,상도2동,11200540,21
종로구,종로5·6가동,11010630,21
강서구,우장산동,11160740,20
강서구,방화3동,11160761,20
성동구,응봉동,11040580,20
서대문구,홍제3동,11130640,20
서대문구,충현동,11130730,20
동대문구,회기동,11060710,20
구로구,수궁동,11170690,20
용산구,원효로1동,11030720,20
동작구,사당3동,11200650,20
구로구,항동,11170740,20
광진구,구의3동,11050620,20
서대문구,천연동,11130520,20
구로구,구로3동,11170540,20
구로구,구로2동,11170710,19
마포구,신수동,11140630,19
서초구,방배본동,11220610,19
노원구,상계3·4동,11110760,19
성북구,월곡2동,11080720,19
종로구,이화동,11010640,19
서대문구,남가좌1동,11130690,19
마포구,용강동,11140590,19
송파구,위례동,11240820,19
용산구,원효로2동,11030570,19
성북구,돈암2동,11080590,19
동작구,노량진1동,11200720,19
동작구,신대방2동,11200700,19
광진구,화양동,11050530,19
구로구,구로5동,11170560,19
종로구,혜화동,11010730,19
마포구,연남동,11140710,19
마포구,대흥동,11140600,19
송파구,송파2동,11240620,19
은평구,불광1동,11120520,19
종로구,무악동,11010570,18
서대문구,홍은1동,11130660,18
강서구,등촌1동,11160520,18
동작구,사당5동,11200670,18
노원구,중계본동,11110600,18
도봉구,방학3동,11100570,18
강남구,개포3동,11230511,18
노원구,상계1동,11110650,18
도봉구,창4동,11100620,18
동작구,흑석동,11200710,18
관악구,삼성동,11210820,16
강남구,세곡동,11230760,16
성동구,용답동,11040700,16
강동구,둔촌2동,11250710,16
서초구,양재1동,11220660,16
금천구,시흥3동,11180590,16
광진구,자양3동,11050660,16
성동구,금호4가동,11040620,16
양천구,신정1동,11150640,15
성북구,안암동,11080600,15
강남구,역삼1동,11230640,15
서초구,방배4동,11220650,15
강남구,논현2동,11230530,15
강남구,역삼2동,11230650,15
서초구,방배1동,11220620,15
용산구,효창동,11030580,15
마포구,합정동,11140680,15
성북구,정릉3동,11080640,15
송파구,풍납1동,11240510,15
강남구,개포4동,11230710,15
광진구,능동,11050590,15
서초구,반포1동,11220570,15
영등포구,신길7동,11190690,15
용산구,용산2가동,11030520,15
종로구,부암동,11010550,15
영등포구,양평1동,11190610,15
양천구,신정6동,11150690,14
성북구,정릉4동,11080650,14
종로구,가회동,11010600,14
용산구,이태원2동,11030660,14
서초구,방배2동,11220630,14
강남구,삼성2동,11230590,14
성동구,성수1가1동,11040650,14
송파구,잠실6동,11240770,14
강동구,고덕1동,11250550,14
송파구,잠실7동,11240780,14
서초구,방배3동,11220640,14
강서구,공항동,11160690,14
성동구,성수1가2동,11040660,14
금천구,가산동,11180510,14
마포구,서교동,11140660,13
강동구,상일동,11250760,13
은평구,수색동,11120680,13
서대문구,연희동,11130760,13
용산구,이태원1동,11030650,13
강동구,명일2동,11250540,13
종로구,평창동,11010560,13
성북구,성북동,11080810,13
마포구,서강동,11140760,13
양천구,목1동,11150510,13
종로구,청운효자동,11010720,13
도봉구,도봉1동,11100640,13
성동구,옥수동,11040730,13
강동구,고덕2동,11250560,13
강서구,염창동,11160510,13
용산구,이촌1동,11030630,12
중구,장충동,11020580,12
성동구,사근동,11040550,12
강서구,방화2동,11160710,12
서초구,서초1동,11220510,12
중구,명동,11020550,12
강동구,암사2동,11250580,12
마포구,상암동,11140740,12
성동구,성수2가3동,11040680,12
용산구,한남동,11030740,12
영등포구,당산2동,11190560,12
강북구,우이동,11090740,12
동작구,사당2동,11200730,12
송파구,잠실2동,11240790,11
광진구,광장동,11050630,11
강동구,암사3동,11250590,11
관악구,낙성대동,11210580,11
중구,회현동,11020540,11
노원구,공릉2동,11110560,11
송파구,풍납2동,11240520,11
강서구,가양1동,11160751,11
종로구,사직동,11010530,11
강남구,일원본동,11230720,11
구로구,신도림동,11170510,11
서초구,서초3동,11220530,11
서초구,반포4동,11220600,11
서초구,잠원동,11220550,11
서대문구,신촌동,11130750,11
은평구,진관동,11120710,11
구로구,구로1동,11170520,11
중구,광희동,11020590,11
강남구,청담동,11230780,11
강남구,도곡1동,11230660,9
서초구,반포2동,11220580,9
영등포구,여의동,11190540,9
서초구,서초2동,11220520,9
송파구,가락1동,11240660,9
종로구,삼청동,11010540,9
송파구,잠실4동,11240750,9
서초구,양재2동,11220670,9
용산구,이촌2동,11030640,9
영등포구,문래동,11190760,9
중구,을지로동,11020600,9
양천구,목5동,11150710,9
서초구,서초4동,11220540,9
영등포구,양평2동,11190620,9
관악구,남현동,11210630,9
강남구,개포1동,11230680,8
송파구,문정2동,11240690,8
강남구,신사동,11230510,8
강남구,도곡2동,11230670,8
서초구,내곡동,11220680,8
종로구,종로1·2·3·4가동,11010610,8
용산구,서빙고동,11030690,8
강남구,대치2동,11230790,8
서초구,반포3동,11220590,8
강남구,개포2동,11230800,8
송파구,잠실3동,11240800,8
강남구,삼성1동,11230580,8
관악구,대학동,11210730,8
강남구,압구정동,11230770,7
강남구,대치1동,11230600,7
중구,필동,11020570,6
용산구,한강로동,11030730,6
중구,소공동,11020520,5
송파구,오륜동,11240590,0
