행정동코드,자치구,행정동,CRIME_SCORE
11110730,노원구,상계9동,48
11110740,노원구,상계10동,48
11110760,노원구,상계3·4동,43
11110770,노원구,상계6·7동,66
11110780,노원구,중계2·3동,66
11110790,노원구,공릉1동,68
11120510,은평구,녹번동,18
11120520,은평구,불광1동,46
11120550,은평구,갈현1동,64
11120560,은평구,갈현2동,64
11120570,은평구,구산동,64
11120580,은평구,대조동,28
11120590,은평구,응암1동,19
11120600,은평구,응암2동,19
11120650,은평구,신사1동,39
11120660,은평구,신사2동,39
11120670,은평구,증산동,39
11120680,은평구,수색동,39
11120710,은평구,진관동,5
11120720,은평구,불광2동,46
11120730,은평구,응암3동,25
11120740,은평구,역촌동,29
11130520,서대문구,천연동,57
11130620,서대문구,홍제1동,25
11130640,서대문구,홍제3동,19
11130650,서대문구,홍제2동,25
11130660,서대문구,홍은1동,19
11130680,서대문구,홍은2동,5
11130690,서대문구,남가좌1동,28
11130700,서대문구,남가좌2동,28
11130710,서대문구,북가좌1동,31
11130720,서대문구,북가좌2동,31
11130730,서대문구,충현동,57
11130740,서대문구,북아현동,57
11130750,서대문구,신촌동,38
11130760,서대문구,연희동,31
11140590,마포구,용강동,39
11140600,마포구,대흥동,54
11140610,마포구,염리동,39
11140630,마포구,신수동,54
11140660,마포구,서교동,90
11140680,마포구,합정동,90
11140690,마포구,망원1동,34
11140700,마포구,망원2동,34
11140710,마포구,연남동,20
11140720,마포구,성산1동,50
11140730,마포구,성산2동,50
11140740,마포구,상암동,26
11140750,마포구,도화동,39
11140760,마포구,서강동,54
11140770,마포구,공덕동,40
11140780,마포구,아현동,40
11150510,양천구,목1동,59
11150520,양천구,목2동,38
11150530,양천구,목3동,38
11150540,양천구,목4동,38
11150570,양천구,신월1동,60
11150580,양천구,신월2동,66
11150590,양천구,신월3동,60
11150600,양천구,신월4동,66
11150610,양천구,신월5동,25
11150620,양천구,신월6동,66
11150630,양천구,신월7동,66
11150640,양천구,신정1동,35
11150650,양천구,신정2동,75
11150660,양천구,신정3동,38
11150690,양천구,신정6동,35
11150700,양천구,신정7동,35
11150710,양천구,목5동,59
11150720,양천구,신정4동,75
11160510,강서구,염창동,34
11160520,강서구,등촌1동,34
11160530,강서구,등촌2동,29
11160540,강서구,등촌3동,79
11160550,강서구,화곡본동,82
11160570,강서구,화곡2동,54
11160580,강서구,화곡3동,36
11160590,강서구,화곡4동,54
11160610,강서구,화곡6동,82
11160630,강서구,화곡8동,54
11160650,강서구,가양2동,79
11160660,강서구,가양3동,79
11160670,강서구,발산1동,44
11160690,강서구,공항동,80
11160700,강서구,방화1동,80
11160710,강서구,방화2동,80
11160730,강서구,화곡1동,72
11160740,강서구,우장산동,44
11160751,강서구,가양1동,79
11160761,강서구,방화3동,12
11170510,구로구,신도림동,82
11170520,구로구,구로1동,85
11170540,구로구,구로3동,50
11170550,구로구,구로4동,85
11170560,구로구,구로5동,82
11170610,구로구,고척1동,36
11170620,구로구,고척2동,36
11170640,구로구,개봉2동,40
11170650,구로구,개봉3동,40
11170670,구로구,오류1동,64
11170690,구로구,수궁동,64
11170700,구로구,가리봉동,55
11170710,구로구,구로2동,85
11170720,구로구,개봉1동,36
11170730,구로구,오류2동,21
11170740,구로구,항동,21
11180510,금천구,가산동,31
11180520,금천구,독산1동,11
11180530,금천구,독산2동,32
11180540,금천구,독산3동,62
11180550,금천구,독산4동,62
11180570,금천구,시흥1동,26
11180580,금천구,시흥2동,32
11180590,금천구,시흥3동,26
11180600,금천구,시흥4동,32
11180610,금천구,시흥5동,32
11190540,영등포구,여의동,61
11190550,영등포구,당산1동,79
11190560,영등포구,당산2동,18
11190610,영등포구,양평1동,79
11190620,영등포구,양평2동,18
11190630,영등포구,신길1동,77
11190650,영등포구,신길3동,40
11190660,영등포구,신길4동,77
11190670,영등포구,신길5동,40
11190680,영등포구,신길6동,40
11190690,영등포구,신길7동,40
11190700,영등포구,대림1동,79
11190710,영등포구,대림2동,79
11190720,영등포구,대림3동,54
11190730,영등포구,영등포본동,59
11190740,영등포구,영등포동,91
11190750,영등포구,도림동,59
11190760,영등포구,문래동,46
11200520,동작구,노량진2동,54
11200530,동작구,상도1동,66
11200540,동작구,상도2동,66
11200550,동작구,상도3동,10
11200560,동작구,상도4동,66
11200630,동작구,사당1동,86
11200650,동작구,사당3동,40
11200660,동작구,사당4동,86
11200670,동작구,사당5동,86
11200680,동작구,대방동,10
11200690,동작구,신대방1동,66
11200700,동작구,신대방2동,66
11200710,동작구,흑석동,22
11200720,동작구,노량진1동,54
11200730,동작구,사당2동,40
11210520,관악구,보라매동,81
11210540,관악구,청림동,50
11210570,관악구,행운동,76
11210580,관악구,낙성대동,76
11210610,관악구,중앙동,50
11210620,관악구,인헌동,76
11210630,관악구,남현동,28
11210640,관악구,서원동,69
11210650,관악구,신원동,69
11210660,관악구,서림동,65
11210680,관악구,신사동,28
11210690,관악구,신림동,81
11210710,관악구,난향동,51
11210720,관악구,조원동,39
11210730,관악구,대학동,65
11210780,관악구,은천동,81
11210790,관악구,성현동,50
11210800,관악구,청룡동,69
11210810,관악구,난곡동,51
11210820,관악구,삼성동,65
11210830,관악구,미성동,44
11220510,서초구,서초1동,44
11220520,서초구,서초2동,75
11220530,서초구,서초3동,49
11220540,서초구,서초4동,75
11220550,서초구,잠원동,80
11220560,서초구,반포본동,32
11220570,서초구,반포1동,80
11220580,서초구,반포2동,80
11220590,서초구,반포3동,80
11220600,서초구,반포4동,80
11220610,서초구,방배본동,20
11220620,서초구,방배1동,20
11220630,서초구,방배2동,35
11220640,서초구,방배3동,35
11220650,서초구,방배4동,20
11220660,서초구,양재1동,34
11220670,서초구,양재2동,24
11220680,서초구,내곡동,6
11230510,강남구,신사동,92
11230511,강남구,개포3동,18
11230520,강남구,논현1동,70
11230530,강남구,논현2동,46
11230580,강남구,삼성1동,44
11230590,강남구,삼성2동,43
11230600,강남구,대치1동,55
11230630,강남구,대치4동,55
11230640,강남구,역삼1동,92
11230650,강남구,역삼2동,74
11230660,강남구,도곡1동,74
11230670,강남구,도곡2동,74
11230680,강남구,개포1동,25
11230710,강남구,개포4동,25
11230720,강남구,일원본동,18
11230730,강남구,일원1동,18
11230750,강남구,수서동,29
11230760,강남구,세곡동,10
11230770,강남구,압구정동,31
11230780,강남구,청담동,40
11230790,강남구,대치2동,55
11230800,강남구,개포2동,25
11240510,송파구,풍납1동,35
11240520,송파구,풍납2동,35
11240530,송파구,거여1동,43
11240540,송파구,거여2동,43
11240550,송파구,마천1동,46
11240560,송파구,마천2동,46
11240570,송파구,방이1동,86
11240580,송파구,방이2동,86
11240590,송파구,오륜동,86
11240600,송파구,오금동,16
11240610,송파구,송파1동,86
11240620,송파구,송파2동,86
11240630,송파구,석촌동,51
11240640,송파구,삼전동,51
11240650,송파구,가락본동,69
11240660,송파구,가락1동,69
11240670,송파구,가락2동,69
11240680,송파구,문정1동,50
11240690,송파구,문정2동,50
11240710,송파구,잠실본동,74
11240750,송파구,잠실4동,30
11240770,송파구,잠실6동,30
11240780,송파구,잠실7동,74
11240790,송파구,잠실2동,74
11240800,송파구,잠실3동,74
11240810,송파구,장지동,50
11240820,송파구,위례동,50
11250530,강동구,명일1동,38
11250540,강동구,명일2동,38
11250550,강동구,고덕1동,0
11250560,강동구,고덕2동,0
11250580,강동구,암사2동,54
11250590,강동구,암사3동,54
11250610,강동구,천호1동,54
11250630,강동구,천호3동,82
11250650,강동구,성내1동,56
11250660,강동구,성내2동,56
11250670,강동구,성내3동,56
11250700,강동구,둔촌1동,25
11250710,강동구,둔촌2동,25
11250720,강동구,암사1동,54
11250730,강동구,천호2동,82
11250740,강동구,길동,43
11250750,강동구,강일동,28
11250760,강동구,상일동,28
