"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","건물이름(BLDNAME)","건물(동)이름(DONGNAME)","지상지하구분(FLOORTYPE)","층_번호(FLOORNUMBER)","호_이름(HONAME)","건물골조(GUJONAME)","지붕구조(ROOFNAME)","전용면적(JYAREA)","공용면적(GYAREA)","전세시세유무(HAVE_SISE1)","월세시세유무(HAVE_SISE2)"
"1129013600100900122","202101","11170-13184","11470-100199250","서**별**금** **동**3**1**","11545","10300","1","1046","0111","","",20,3,"303","철근콘크리트구조","(철근)콘크리트",40.14,12.89,0,0
"1138010800100260034","202104","11440-16450","11320-100197347","서**별**성** **동**9**","11545","11200","1","0277","2703","성*하*츠","",20,4,"101","철근콘크리트구조","(철근)콘크리트",36.11,6.302,1,1
"1171010100103210019","202004","11590-1696","11320-100200862","서**별**도** **동**1**2**","11590","10600","1","0322","0033","","",20,2,"402","철근콘크리트구조","(철근)콘크리트",34.8,6.42,1,1
"1150010300100460112","202009","11380-100246556","11680-100207072","서**별**은** **동**7**1**","11215","10100","1","0092","0004","다*캐*","",20,2,"301","철근콘크리트구조","(철근)콘크리트",27.04,10.28,1,0
"1168010800100800009","202001","11380-100247897","11470-69620","서**별**동**구**안**4**-**","11590","10700","1","0008","0031","대*샤*빌","",20,1,"103","철근콘크리트구조","(철근)콘크리트",84.63,4.29,1,1
"1150010300110870037","202005","11740-100280402","11260-100235553","서**별**서** **동**6**-**","11230","12300","1","0196","0011","","",20,2,"502","철근콘크리트구조","(철근)콘크리트",54.92,,0,1
"1171010400101220004","202003","11350-13967","11500-100314590","서**별**마** **동**7**2**","11380","12500","1","0699","0013","행*삶*","",20,2,"301","철근콘크리트구조","(철근)콘크리트",28.93,23.86,1,0
"1150010300104000079","202105","11440-12135","11620-129314","서**별**은** **동**4**5**","11620","10100","1","0084","0008","","",20,3,"102","철근콘크리트구조","(철근)콘크리트",28.11,16.33,1,1
"1130510100100030010","202102","11200-19645","11680-55653","서**별**강** **동**1**-**","11470","10300","1","0114","0014","","",20,3,"301","철근콘크리트구조","(철근)콘크리트",33.6,19.86,1,0
"1144012300103990012","202101","11620-100209584","11680-204690","서**별**구** **동**0**4**","11620","10800","1","0015","0002","서* *하*스","",20,3,"204","벽돌구조","(철근)콘크리트",21.93,9.61,1,1
"1171010800101050017","202002","11260-100231614","11320-100217544","서**별**마** **동**3**4**","11680","16600","1","0381","0023","","1동",20,2,"403","철근콘크리트구조","(철근)콘크리트",50.35,25.5,1,1
"1111018100102100065","202008","11590-100234667","11260-59799","서**별**영**구**길**2**-**","11380","11000","1","0340","0002","","",20,5,"503","철근콘크리트구조","(철근)콘크리트",13.82,,0,0
"1120010400101050000","202006","11500-5280","11710-155223","서**별**은** **동**9**5**","11590","10300","1","0628","0018","경*천*아*움","",20,3,"102","철근콘크리트구조","(철근)콘크리트",52.77,5.73,1,1
"1121510300100660076","202102","11500-100250002","11470-100227217","서**별**송** **동**7**1**","11470","12500","1","0896","0025","자*하*스","",20,4,"302","철근콘크리트구조","(철근)콘크리트",59.97,5.64,1,1
"1150010300100560418","202010","11305-28927","11260-52327","서**별**서**구**가** **9**4**","11215","10100","1","0609","0007","우*하*스","",20,2,"201","철근콘크리트구조","(철근)콘크리트",24.84,20.929,1,0
"1132010800106230078","202001","11740-17007","11500-176344","서**별**강** **동**1**4**","11440","10900","1","1487","0003","","B동",20,2,"B1","철근콘크리트구조","(철근)콘크리트",51.68,4.6,1,1
"1121510100101690011","202001","11170-21494","11500-174887","서**별**서**구**은**4**-**","11260","10800","1","0494","0034","금* *위*홈","",20,2,"201","벽돌구조","(철근)콘크리트",54.13,8.78,1,1
"1144012300104250019","202011","11620-100207684","11470-131537","서**별**은** **동**8**1**","11500","10500","1","0285","0102","","",20,3,"502","철근콘크리트구조","(철근)콘크리트",46.68,7.88,1,0
"1120010900100650000","202010","11650-100231314","11380-97518","서**별**송** **동**2**1**","11680","10100","1","0432","0003","자*하*스","",20,4,"103","철근콘크리트구조","(철근)콘크리트",84.95,12.129,1,1
"1141011700100860011","202009","11380-100245605","11710-137974","서**별**관** **동**6**2**","11530","10100","1","0024","0023","토*하*스","",20,4,"203","철근콘크리트구조","(철근)콘크리트",29.47,25.33,1,0
"1130510300104770004","202010","11260-25013","11380-100233607","서**별**은** **동**1**2**","11260","10300","1","0185","0038","","",20,4,"402","철근콘크리트구조","(철근)콘크리트",51.12,3.63,1,1
"1165010200102720011","202001","11110-20849","11440-99580","서**별**강** **동**7**6**","11620","10300","1","0495","0072","청*평*하*맨*","",20,3,"201","철근콘크리트구조","(철근)콘크리트",74.65,8.29,1,1
"1147010100109970002","202004","11260-100225088","11470-74467","서**별**송** **동**5**5**","11290","10200","1","0193","0001","와*엔*","",20,3,"402","철근콘크리트구조","(철근)콘크리트",33.12,12.75,0,1
"1171010700101800018","202008","11380-100195873","11530-100252740","서**별**강** **동**1**2**","11320","12300","1","0105","0022","대*예*지","",20,-1,"201","철근콘크리트구조","(철근)콘크리트",45.58,17.31,1,1
"1117011900100050164","202001","11290-100264991","11440-113228","서**별**송** **동**7**","11680","10300","1","0265","0004","신*빌","",20,1,"301","벽돌구조","(철근)콘크리트",41.54,67.95,1,1
"1123010400101240043","202104","11110-25958","11410-100196600","서**별**동** **동**0**1**","11740","12200","1","0439","0009","","나동",20,2,"401","철근콘크리트구조","(철근)콘크리트",19.76,44.63,1,0
"1150010200106480011","202009","11215-14422","11680-123678","서**별**은** **동**1**1**","11560","10400","1","0221","0028","","",20,3,"301","철근콘크리트구조","(철근)콘크리트",14.01,5.94,1,1
"1138010700100810088","202007","11710-100533022","11380-54606","서**별**성** **동**-**9**","11320","10100","1","0366","0030","","",20,4,"302","철근콘크리트구조","(철근)콘크리트",47.17,4.76,0,1
"1162010200100880020","202102","11230-5902","11500-100247760","서**별**송** **동**0**","11230","10800","1","0392","0001","","",20,9,"104","철근콘크리트구조","(철근)콘크리트",54.46,24.05,1,1
"1150010300109210005","202011","11590-26102","11590-100189443","서**별**강** **동**1**2**","11590","10700","1","0395","0011","","102동",20,3,"202","철근콘크리트구조","(철근)콘크리트",47.51,7.31,1,1
"1168010800100750010","202103","11740-1674","11500-154291","서**별**송** **동**2**","11530","11200","1","0244","0006","관*럭*빌","",20,3,"404","철근콘크리트구조","(철근)콘크리트",36.52,9.25,1,0
"1123010600104440001","202003","11320-16789","11380-103752","서**별**중**장**1**5**1**","11410","10200","1","0255","0015","현*팰*스","",20,2,"201","철근콘크리트구조","(철근)콘크리트",22.23,5.04,1,1
"1159010200103350102","202001","11560-29404","11440-99627","서**별**구** **동**3**1**","11410","11400","1","0900","0252","공*주* *이*현*","",20,-1,"101","철근콘크리트구조","(철근)콘크리트",84.78,19.32,1,1
"1154510300109950034","202010","11590-26084","11710-72271","서**별**강** **동**1**1**","11710","10200","1","0866","0001","에*하*스","네오빌",20,1,"301","철근콘크리트구조","(철근)콘크리트",63.54,,0,1
"1114014400101930144","202002","11740-18877","11290-100249656","서**별**양** **동**1**2**","11620","10300","1","0656","0047","서*도*형*활*택","",20,1,"401","철근콘크리트구조","기타지붕",44.28,6.91,1,1
"1147010300104880016","202012","11380-17177","11680-189305","서**별**종** **동**4**1**","11380","10300","1","0486","0017","","",20,-1,"401","철근콘크리트구조","(철근)콘크리트",38.44,13.8,1,1
"1171010500100190001","202006","11500-16556","11530-55834","서**별**강** **동**9**4**","11290","10800","1","0292","0364","","1동",20,3,"203","철근콘크리트구조","(철근)콘크리트",51.44,17.18,1,1
"1141011900103250032","202105","11305-100207101","11590-100185756","서**별**구** **동**0**9**","11290","10100","1","0375","0146","건*빌","",20,-1,"501","철근콘크리트구조","(철근)콘크리트",81.58,8.31,1,1
"1174010800101300011","202105","11290-22727","11260-100219571","서**별**송** **동**1**","11440","10300","1","0001","0003","스*이*림*운","",20,1,"201","철근콘크리트구조","(철근)콘크리트",27.42,25.62,1,0
"1174010800101200058","202003","11290-28232","11440-100220167","서**별**송** **동**2**","11470","10300","1","0030","0026","","",20,3,"203","철근콘크리트구조","(철근)콘크리트",55.8,19.04,1,1
"1138010400104020017","202012","11710-100227601","11710-100469343","서**별**금** **동**-**5**","11290","10600","1","0148","0004","","",10,4,"204","철근콘크리트구조","(철근)콘크리트",50.4,9.79,1,1
"1171010500100550012","202011","11500-100248694","11530-48978","서**별**관** **동**0**3**","11650","10200","1","0214","0198","글*스*","",20,-1,"101","철근콘크리트구조","(철근)콘크리트",56.1,14.63,1,1
"1162010200104090361","202003","11680-100297704","11410-78908","서**별**강** **동**2**-**","11500","10500","1","0020","0025","","",20,4,"401","철근콘크리트구조","기타지붕",16.89,29.41,1,1
"1129010300106440003","202105","11470-4942","11545-48025","서**별**서**구**가** **0**1**","11620","13600","1","0137","0005","","",20,4,"402","철근콘크리트구조","(철근)콘크리트",17.22,,1,1
"1159010700102290014","202008","11290-100213091","11305-100201827","서**별**서**구**가** **0**","11500","10500","1","0118","0002","","",20,6,"201","철근콘크리트구조","(철근)콘크리트",57.24,0.33,1,1
"1168010100106740004","202103","11290-100184526","11440-100198188","서**별**송** **동**3**1**","11530","10800","1","0959","0031","","",20,2,"403","철근콘크리트구조","(철근)콘크리트",35.7,27.5,1,0
"1138010700101180053","202011","11500-100265772","11410-65417","서**별**광** **동**6**7**","11305","10200","1","0749","0019","주*해*빌","",20,5,"203","철근콘크리트구조","(철근)콘크리트",30.5,9.5,1,0
"1153011000100620009","202011","11200-100194072","11320-100203663","서**별**강** **동**1**2**","11410","10200","1","0365","0005","성* *트*","",20,3,"302","철근콘크리트구조","(철근)콘크리트",59.35,19.89,1,1
"1150010300108270034","202102","11710-100237837","11740-100227975","서**별**서** **동**7**1**","11290","10100","1","0282","0001","","",20,5,"203","철근콘크리트구조","(철근)콘크리트",61.77,6.42,1,1
"1141011800102650285","202003","11680-100241989","11710-112892","서**별**강** **동**7**2**","11650","10100","1","0321","0003","","",20,2,"301","벽돌구조","(철근)콘크리트",35.09,7.9,1,1
"1138010900100290043","202102","11500-100210428","11170-85190","서**별**금** **동**7**5**","11290","10200","1","0517","0011","","",20,3,"302","철근콘크리트구조","(철근)콘크리트",25.48,5.72,1,1
"1171010500102450015","202105","11380-100217250","11440-100240670","서**별**동** **동**0**","11290","10800","1","0018","0042","소*파*빌","",20,1,"201","철근콘크리트구조","(철근)콘크리트",64.41,13.7,1,1
"1121510100101260064","202012","11500-2626","11320-32398","서**별**강** **동**5**8**","11470","10200","1","0001","0054","카*리*빌","1동",20,2,"지층비03호","철근콘크리트구조","(철근)콘크리트",21.84,11.16,1,1
"1132010500103150345","202009","11410-26053","11215-28807","서**별**도** **동**8**1**","11380","10200","1","0911","0033","삼*파*빌","B동",20,3,"202","철근콘크리트구조","(철근)콘크리트",41.56,5.28,0,0
"1171010800101120009","202002","11305-13974","11710-112980","서**별**구** **동**1**2**","11680","10800","1","0236","0061","신*파*뷰","",20,4,"602","철근콘크리트구조","(철근)콘크리트",25.84,15.68,1,1
"1117010200100220007","202003","11620-20218","11620-100221341","서**별**양** **동**3**2**","11305","11900","1","0022","0030","","",20,1,"401","철근콘크리트구조","(철근)콘크리트",74.12,9.67,1,0
"1156011700101210289","202004","11260-100263230","11710-100245194","서**별**중** ** **2**5**","11215","10200","1","0004","0009","진*빌","삼성리버빌",20,2,"301","벽돌구조","(철근)콘크리트",19.8,9.375,1,1
"1171010500102310013","202105","11170-100215411","11290-100258278","서**별**영**구**평**가**3**3**","11530","11100","1","0230","0002","","",20,1,"403","철근콘크리트구조","(철근)콘크리트",55.05,20.51,1,1
"1174010800104210037","202006","11260-100256770","11680-100272657","서**별**구** **동**5**2**","11290","10300","1","0593","0006","레*랑*","대명쉐르빌",20,1,"302","철근콘크리트구조","(철근)콘크리트",19.95,5.24,0,0
"1114014400101930479","202003","11380-33027","11620-85473","서**별**중** **동**0**4**","11590","10100","1","0029","0235","","",20,4,"101","철근콘크리트구조","(철근)콘크리트",26.18,9.85,1,1
"1162010200104090268","202007","11380-11708","11710-157711","서**별**강** **동**6**6**","11170","10100","1","0041","0014","에*알*","A동",20,4,"302","철근콘크리트구조","(철근)콘크리트",49.52,,1,1
"1168010600109540002","202006","11710-6567","11170-100218347","서**별**강** **동**3**2**","11710","10500","1","1193","0018","","",20,4,"201","철근콘크리트구조","(철근)콘크리트",41.04,10.65,1,1
"1150010600106700048","202011","11680-16740","11305-83438","서**별**성** **동**2**7**","11260","10800","1","0697","0128","한*쉐*빌","",20,1,"303","철근콘크리트구조","(철근)콘크리트",31.92,4.68,1,1
"1171011200101540007","202104","11380-100201007","11320-75228","서**별**강** **동**1**-**","11545","11800","1","0603","0251","두*빌*","",20,2,"401","철근콘크리트구조","(철근)콘크리트",28.33,13.12,0,1
"1138010700100970037","202104","11500-1647","11470-66045","서**별**강** **동**7**4**","11410","10600","1","0020","0007","유*빌*지","",20,3,"201","철근콘크리트구조","(철근)콘크리트",28.6,85.04,1,1
"1141011800103970020","202103","11740-6054","11545-100231041","서**별**마** **동**6**9**","11260","10900","1","0151","0043","","",10,1,"105","철근콘크리트구조","(철근)콘크리트",25.46,9.61,1,1
"1174010700104860075","202103","11320-16674","11590-100205380","서**별**금** **동**0**-**","11530","10600","1","0167","0002","","",20,4,"103","철근콘크리트구조","(철근)콘크리트",39.59,,0,1
"1138010200100290056","202103","11680-13779","11170-62746","서**별**은** **동**8**9**","11410","10500","1","0376","0007","청*빌*","103동",20,3,"301","철근콘크리트구조","(철근)콘크리트",61.29,24.12,0,1
"1168010100107040001","202101","11305-13854","11440-100222117","서**별**강** **동**2**","11500","10200","1","0054","0536","","",10,6,"102","철근콘크리트구조","(철근)콘크리트",14.79,5.28,1,0
"1141011800100100196","202001","11500-100282970","11500-100249274","서**별**구** **동**5**1**","11530","10100","1","0560","0207","가*그*빌","",20,4,"302","철근콘크리트구조","(철근)콘크리트",22.04,6.198,1,1
"1141011700100770025","202007","11500-26735","11170-82494","서**별**강** **동**5**6**","11470","10100","1","1645","0060","퍼*트*","나동",20,3,"B101","철근콘크리트구조","(철근)콘크리트",14.54,16.25,1,1
"1126010100101850119","202011","11410-9880","11380-79619","서**별**강** **동**9**","11200","10600","1","0327","0448","상*프*","",10,5,"303","철근콘크리트구조","(철근)콘크리트",56.59,5.8,1,0
"1138010400105220024","202008","11380-100206587","11410-78730","서**별**서** **동**5**2**","11710","10400","1","0353","0003","","",20,2,"202","철근콘크리트구조","(철근)콘크리트",39.84,17.26,1,1
"1138010300103140016","202011","11170-12896","11650-100220455","서**별**마** **동**3**3**","11500","10700","1","0299","0016","다*타* *동","나동",20,2,"102","철근콘크리트구조","(철근)콘크리트",24.44,11.3,1,0
"1168010500101240029","202103","11410-10086","11545-100212806","서**별**은** **동**0**2**","11305","10400","1","0167","1238","","101동",20,3,"101","철근콘크리트구조","(철근)콘크리트",25.92,4.68,1,1
"1162010300110830016","202011","11260-100220141","11380-100263460","서**별**마** **동**2**7**","11500","12500","1","0156","0141","","",20,1,"102","벽돌구조","(철근)콘크리트",57.61,7.09,1,1
"1123010600103750006","202103","11380-11563","11620-101059","서**별**강** **동**5**0**","11170","10300","1","0486","0069","현*타*하*스","그레이스빌A동",20,4,"2호","벽돌구조","(철근)콘크리트",47.65,5.07,1,1
"1168010800101580011","202002","11410-25684","11680-55859","서**별**은** **동**3**2**","11305","10600","1","0183","0048","","래디앙",20,3,"402","철근콘크리트구조","(철근)콘크리트",37.68,5.04,1,1
"1174010500101030002","202003","11380-100231986","11320-100194961","서**별**관** **동**8**1**","11500","11000","1","0314","0010","현*뉴*운*","",20,1,"101","철근콘크리트구조","(철근)콘크리트",84.45,8.73,1,0
"1147010200107840001","202006","11620-100267208","11590-100225816","서**별**양** **동**5**2**","11560","11300","1","0599","0037","","",20,1,"101","철근콘크리트구조","(철근)콘크리트",84.88,10.1,1,0
"1121510500100840010","202101","11545-100218532","11710-130446","서**별**광** **동**9**8**","11170","16200","1","0001","0178","롯*연*주*제*0*동","",10,4,"A동204호","벽돌구조","(철근)콘크리트",21.6,6.58,1,1
"1159010800103750079","202105","11410-21540","11710-100520433","서**별**강** **동**2**1**","11215","10100","1","0212","0087","","",20,2,"202","철근콘크리트구조","(철근)콘크리트",74.4,23.435,1,1
"1132010700102790001","202104","11215-8577","11545-69652","서**별**중** **동**4**9**","11650","10300","1","0128","0049","녹*동*캐*","",20,-1,"701","철근콘크리트구조","(철근)콘크리트",25.55,4.78,1,0
"1159010700104400001","202012","11710-100244576","11110-35333","서**별**강** ** **0**3**","11290","10200","1","0171","0029","수*동*튼*우*","102동",20,2,"101","철근콘크리트구조","(철근)콘크리트",49.86,4.8,1,1
"1174010700104210012","202012","11305-28282","11500-100196049","서**별**강** **동**6**9**","11290","10200","1","0629","0009","가*울*련*파*","",20,5,"201","철근콘크리트구조","(철근)콘크리트",29.21,15.65,1,1
"1168011800109210004","202010","11620-30986","11710-100493448","서**별**강** **동**5**2**","11680","10100","1","0010","0013","","",20,2,"302","철근콘크리트구조","(철근)콘크리트",46.46,11.36,1,1
"1156013200104100145","202009","11170-100182666","11260-39731","서**별**금** **동**4**2**","11740","11000","1","0121","0022","아*힐","",20,2,"303","철근콘크리트구조","(철근)콘크리트",47.6,,1,0
"1130510300105160021","202011","11740-17573","11530-140097","서**별**종** **동**5**6**","11680","10100","1","0035","0006","","",20,3,"401","철근콘크리트구조","(철근)콘크리트",45.94,6.24,1,1
"1132010800105970004","202006","11680-11559","11320-79547","서**별**동**구**경**2**-**","11440","10800","1","0227","0003","논*동*공*주*","",20,2,"302","철근콘크리트구조","기타지붕",40.82,,1,0
"1135010300105920012","202001","11170-100209659","11620-87704","서**별**광** **동**5**2**","11320","16200","1","0431","0170","","",20,2,"304","철근콘크리트구조","(철근)콘크리트",45.9,5.29,1,1
"1159010700110120040","202101","11740-100232360","11530-100204071","서**별**광** **동**6**1**","11680","11300","1","0931","0529","킹*","",20,3,"B2","철근콘크리트구조","(철근)콘크리트",39.03,9.2,1,1
"1114016500107870000","202009","11305-13703","11590-100236252","서**별**강** **동**0**3**","11320","10600","1","0096","0014","","",20,4,"201","철근콘크리트구조","(철근)콘크리트",60.6,,0,0
"1150010300103670070","202007","11620-100281728","11710-63702","서**별**광** **동**1**6**","11410","18600","1","0244","0002","동*홈*운","대성빌딩",10,2,"601","철근콘크리트구조","(철근)콘크리트",21.54,7.11,1,1
"1126010100110690001","202006","11590-13806","11215-100188676","서**별**구** **봉**1**-**","11290","10700","1","0122","0020","송*빌*","",20,3,"401","철근콘크리트구조","(철근)콘크리트",64.2,9.02,0,0
"1138010500102160022","202005","11305-100236404","11350-100194681","서**별**강** **산**6**-**","11500","10400","1","0193","0016","","그랜드빌",10,-1,"403","철근콘크리트구조","(철근)콘크리트",61.48,12.92,1,1
"1144010400101950001","202012","11215-8747","11290-100266338","서**별**강** **동**9**7**","11350","10600","1","0716","0005","신*빌*","",20,5,"301","철근콘크리트구조","기타지붕",19.05,7.21,1,1
"1132010600106510029","202104","11470-13788","11560-122425","서**별**마** **동**7**","11380","10300","1","0607","0034","하*징*트*","",20,2,"401","철근콘크리트구조","(철근)콘크리트",28.07,11.12,1,1
"1144011100100620090","202010","11500-100205159","11260-100214332","서**별**강** **동**2**3**","11380","10500","1","0380","0026","지*피*우*","",20,2,"101","철근콘크리트구조","(철근)콘크리트",25.97,5.31,1,1
"1153010300100020191","202101","11620-29616","11260-68428","서**별**송** **동**5**2**","11305","12500","1","0170","0016","","하늘채",20,5,"301","철근콘크리트구조","(철근)콘크리트",33.48,15.69,1,1
"1171010700101530013","202102","11260-100209649","11740-100258105","서**별**강** **동**3**2**","11710","12800","1","0877","0400","선*하*츠*라","",20,2,"302","철근콘크리트구조","(철근)콘크리트",56.5,26.15,1,1
"1168010300112450005","202004","11380-100242232","11380-54171","서**별**서** **동**0**1**","11710","10300","1","0649","2796","대*빌*6*","",20,3,"501","철근콘크리트구조","(철근)콘크리트",29.52,,1,1
"1159010700100590013","202010","11590-28958","11305-60442","서**별**송** **동**6**","11680","10300","1","0091","0002","","",20,8,"101","철근콘크리트구조","(철근)콘크리트",67.4,11.94,1,1
"1147010200102310052","202006","11380-100281695","11305-100182289","서**별**강** **동**0**","11500","12300","1","0190","0041","N*갤*리*빌","101동",20,3,"302","철근콘크리트구조","(철근)콘크리트",45.77,12.8,1,1
"1150010100102710009","202002","11440-100238194","11680-100269817","서**별**송** **동**6**","11620","10100","1","0231","0008","삼*빌*지","대성예가",20,2,"204","철근콘크리트구조","(철근)콘크리트",20,7.62,1,1
"1174010100103370026","202104","11290-40051","11260-61126","서**별**강** **동**1**3**","11260","10200","1","0001","0092","","",10,5,"402","철근콘크리트구조","(철근)콘크리트",29.03,18.43,1,1
"1130510300107130004","202005","11620-10260","11620-116479","서**별**서**구**희**7**-**","11710","10100","1","0296","0006","로*빌","101동",20,2,"501","철근콘크리트구조","(철근)콘크리트",59.63,5.27,1,1
"1171010700100030011","202012","11590-100184140","11590-98354","서**별**구** **동**7**4**","11140","12300","1","0391","0028","","정우하이츠A동",20,3,"302","철근콘크리트구조","(철근)콘크리트",116.98,6.36,1,0
"1150010300109890003","202001","11380-17457","11500-176043","서**별**성** **동** **9**","11260","10300","1","0094","0019","","나동",10,2,"501","벽돌구조","(철근)콘크리트",60.93,8.77,0,1
"1154510300109490002","202010","11440-29723","11470-93671","서**별**마** **동**7**1**","11290","10100","1","0246","0047","청*평*하*맨*","",20,3,"403","철근콘크리트구조","(철근)콘크리트",54.23,2.45,1,1
"1165010800114280002","202105","11380-100257927","11620-100268471","서**별**영**구**림**3**2**","11500","13200","1","0171","0000","","",20,6,"502","벽돌구조","(철근)콘크리트",65,31.07,1,1
"1171010600101680008","202008","11350-100192033","11290-100228164","서**별**마** **동**3**1**","11290","10800","1","0094","0054","","해오름타운",20,4,"102","벽돌구조","(철근)콘크리트",26.24,5.94,1,0
"1132010600104060007","202002","11500-9105","11305-77905","서**별**관** **동**9**3**","11305","10400","1","0003","0037","미*우*","",20,3,"201","철근콘크리트구조","(철근)콘크리트",86.64,7.13,1,1
"1168010100106940004","202010","11380-19034","11230-100235530","서**별**송** **동**0**2**","11650","16200","1","0189","0007","","102동",20,4,"101","철근콘크리트구조","(철근)콘크리트",70.7,,1,0
"1174010900102990027","202104","11140-8636","11380-100227821","서**별**강** **동**5**","11710","17400","1","1363","0040","수*그*빌","2동",20,7,"202","철근콘크리트구조","(철근)콘크리트",65.66,17.22,1,1
"1138010900100170003","202104","11740-15296","11680-132907","서**별**중** **동**4**2**","11500","10900","1","0673","0027","","",20,5,"103","철근콘크리트구조","(철근)콘크리트",36.78,9.33,1,1
"1154510300108510026","202010","11380-29260","11380-98807","서**별**송** **동**6**1**","11410","10600","1","0408","0005","","",20,4,"203","철근콘크리트구조","(철근)콘크리트",93.45,22.74,1,0
"1150010300101110134","202102","11500-12112","11170-46265","서**별**동** **동**1**1**","11470","10800","1","0052","0007","","",20,4,"302","철근콘크리트구조","(철근)콘크리트",48.55,5.83,1,1
"1138010900103000150","202102","11110-2577","11290-55764","서**별**강** **동**0**1**","11410","11100","1","0816","0059","스*트*","",20,5,"202","철근콘크리트구조","(철근)콘크리트",32.37,5.74,1,1
"1159010800103930043","202102","11305-100210401","11710-100480484","서**별**구** **동**3**2**","11110","10300","1","0268","0096","","",10,3,"301","철근콘크리트구조","(철근)콘크리트",52.85,8.87,0,1
"1132010800105640009","202010","11650-100273355","11680-100239630","서**별**구** **동**0**1**","11680","10300","1","0687","0021","","",20,4,"304","철근콘크리트구조","(철근)콘크리트",47.25,9.25,1,1
"1159010800103830012","202008","11215-100226809","11470-100198073","서**별**은** **동**4**7**","11710","10100","1","0876","0031","","",20,5,"602","철근콘크리트구조","(철근)콘크리트",84.44,4.22,1,1
"1159010700102840020","202101","11350-4788","11380-47419","서**별**동** **동**3**1**","11440","11200","1","0156","0075","","",20,2,"502","철근콘크리트구조","(철근)콘크리트",74.74,6.32,1,1
"1171011200100830003","202105","11680-8121","11305-91123","서**별**광** **동**6**4**","11440","11400","1","0093","0006","지*에*프*미*","",20,1,"303","철근콘크리트구조","(철근)콘크리트",44.64,11.27,0,0
"1150010300104230001","202102","11650-10011","11260-100225180","서**별**송** **동**3**2**","11440","11000","1","0056","0581","홍*빌*","",10,4,"402","벽돌구조","(철근)콘크리트",77.34,5,1,1
"1168010600109660012","202101","11530-6163","11680-203913","서**별**서**구**은**1**7**","11200","10200","1","0009","0019","","",20,3,"302","철근콘크리트구조","(철근)콘크리트",82.29,8.35,1,0
"1138010600102120010","202007","11530-100190226","11110-29915","서**별**관** **동**1**1**","11410","10100","1","0239","0011","강*리*스*운","",10,3,"202","철근콘크리트구조","(철근)콘크리트",23.48,20.6,1,1
"1150010700102160037","202010","11350-100193958","11545-44511","서**별**은** **동**0**1**","11320","12200","1","0232","0020","신*골*빌*","",20,2,"402","철근콘크리트구조","(철근)콘크리트",31.8,11.31,0,1
"1174010800102320001","202103","11620-100219420","11740-100226221","서**별**강** **산**7**-**","11620","10700","1","0486","0009","대*빌*","",20,-1,"302","벽돌구조","(철근)콘크리트",41.59,6.535,1,1
