"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","사례번호(SRNUM)","본건_주소(ADDRESS)","본건_전용면적(BON_JYAREA)","사례_주소(SAMPLE_ADDRESS)","사례_본번(SAMPLE_BUNJI1)","사례_부번(SAMPLE_BUNJI2)","사례_건물이름(SAMPLE_BLDNAME)","사례_거래년월(SAMPLE_MONTH)","사례_거래금액(SAMPLE_VALUE)","사례_건축연도(SAMPLE_BUILDYEAR)","사례_전용면적(SAMPLE_JYAREA)","사례_층수(SAMPLE_FLOOR)","거리(SAMPLE_DISTANCE)","유사도(SAMPLE_SCORE)"
"1147010300103310040","202102","11470-6225","11470-95076","19","서**별**양** **동**0**-**지**",24.56,"서**별**강** **동**5**4**지**","0524","0032","삼*헤*티*(*7*9*",202009,23000,"2013",29.93,3,468,0.12125
"1147010200107810018","202004","11470-8598","11470-139742","42","서**별**양** ** **9**1**",76.05,"서**별**강** **동**7**2**지**","0934","0013","삼*주* *동",202005,20000,"2016",48.17,3,0,0.22529
"1147010300101080001","202103","11470-100220547","11470-110242","84","서**별**양** ** **3**번**",91.85,"서**별**양** **동**0**-**번**","0734","0027","유*빌*",202105,10000,"2016",66.54,2,168,0.05604
"1147010300103310000","202008","11470-18165","11470-84449","23","서**별**양** **동**6**9**",78.6,"서**별**양** ** **1**0**","0780","0029","동*아*빌",201911,25000,"2007",57.92,2,458,0.08959
"1147010300105040007","202007","11470-2715","11470-71112","38","서**별**양** ** **4**번**",60.1,"서**별**양** ** **4**번**","0531","0213","현*빌*트*차",202104,7000,"2003",59.75,1,473,0.03334
"1147010300105170004","202012","11470-7559","11470-91182","12","서**별**양** **동**1**1**지**",59.14,"서**별**양** **동**6**8**","0331","0009","신*주*(*6*8*",202012,12000,"1986",36.94,2,408,0.11511
"1147010200106190008","202001","11470-20655","11470-90037","21","서**별**양** **동**5**3**",63.96,"서**별**양** **동**7**1**지**","0953","0013","대*주*(*동*",202101,15000,"2002",59.58,1,132,0.10545
"1147010200104990047","202011","11470-17473","11470-134455","99","서**별**양** **동**4**1**지**",40.03,"서**별**양** ** **8**4**지**","0131","0017","성*하*스*",202105,17500,"1993",46.2,2,105,0.05469
"1147010300109110016","202002","11470-100193305","11470-100226395","72","서**별**양** ** **7**",18.3,"서**별**양** **동**7**1**지**","0099","0153","유*미*0*동",202103,13000,"1987",58.8,1,31,0.07734
"1147010300109250008","202101","11470-14936","11470-100205076","16","서**별**양** ** **6**7**",41.21,"서**별**양** ** **1**3**","0500","0006","삼*빌*(*6*-*7*",201911,20000,"2014",36.27,3,345,0.112
"1147010300109820011","202104","11470-100198984","11470-86456","80","서**별**양** **동**2**3**지**",41.21,"서**별**양** **동**4**5**","0454","0002","삼*그*빌*트*이*",202105,20000,"1993",53.4,6,423,0.04264
"1147010300109840013","202006","11470-100224808","11470-116877","13","서**별**양** **동**2**번**",67.15,"서**별**양** **동**2**1**지**","0743","0020","명*주*",202008,18000,"1993",43.87,4,294,0.11931
"1147010200105580000","202012","11470-12316","11470-78358","36","서**별**양** **동**3**1**지**",26.86,"서**별**양** **동**5**8**","0555","0021","신*빌*",202101,9000,"1989",60.7,6,331,0.09484
"1147010300100720002","202102","11470-18423","11470-100205579","48","서**별**양** **동**2**1**지**",64.89,"서**별**양** **동**2**8**","0318","0017","미*팰*스",202003,22000,"1992",41.14,5,274,0.07986
"1147010100109090008","202009","11470-21606","11470-68169","85","서**별**양** **동**2**1**지**",36.75,"서**별**양** ** **1**번**","1039","0022","대*그*빌*에*동",202005,8500,"2006",29.88,5,472,0.05493
"1147010200103180235","202011","11470-6030","11470-88423","101","서**별**양** **동**5**5**",36.54,"서**별**양** ** **-**번**","0941","0036","우*빌*(*동*",201908,18000,"2016",88.8,6,409,0.11815
"1147010100109140003","202012","11470-2704","11470-81215","23","서**별**양** **동**7**9**",34.32,"서**별**양** **동**9**1**지**","0966","0024","도*주*(*동*",202008,23000,"1988",67.05,3,0,0.14981
"1147010100108730008","202007","11470-10129","11470-100224411","20","서**별**양** ** **4**1**지**",27.62,"서**별**양** ** **8**3**","0532","0002","유*파*빌",202103,21000,"2002",60.48,1,257,0.09837
"1147010300109740002","202012","11470-10538","11470-69521","4","서**별**양** **동**1**5**",66.81,"서**별**양** **동**5**6**","0439","0011","대*아*빌",202009,10000,"2014",28.98,4,59,0.04213
"1147010200107280002","202104","11470-12509","11470-92396","22","서**별**양** **동**2**번**",37.3,"서**별**양** ** **8**4**지**","0131","0023","보*하*스",202010,28000,"1991",75.84,1,440,0.10571
"1147010200107650004","202012","11470-2733","11470-79416","139","서**별**양** ** **8**번**",45.8,"서**별**양** **동**6**1**","0746","0020","페*하*",202005,11000,"1995",36.6,4,442,0.09444
"1147010300100200009","202006","11470-16429","11470-80280","7","서**별**양** ** **5**4**",66.84,"서**별**양** **동**2**2**지**","0932","0017","(*9*-*7*",201709,18000,"1987",57.9,3,78,0.14757
"1147010200107750008","202011","11470-4997","11470-109979","23","서**별**양** **동**6**1**지**",29.85,"서**별**양** ** **4**0**지**","0318","0018","석*트*움*6*2*6*",202012,8500,"2016",36.78,1,314,0.0563
"1147010200105060007","202004","11470-100240628","11470-75499","119","서**별**양** ** **8**1**",55.53,"서**별**양** **동**2**2**","0942","0068","우*아*빌*",202001,18900,"2003",32.34,4,183,0.06997
"1147010200107670019","202103","11470-5673","11470-89135","28","서**별**양** ** **4**8**",54.54,"서**별**양** ** **4**2**","0488","0007","삼*주* *동",202012,11000,"2002",44.44,2,63,0.12883
"1147010300100630001","202003","11470-9526","11470-100217220","33","서**별**양** **동**8**3**",45.23,"서**별**양** **동**7**2**지**","0499","0001","건*V*P*션",201912,13000,"1987",39.97,5,228,0.03224
"1147010100109700017","202104","11470-9223","11470-94088","25","서**별**양** ** **8**5**지**",36.51,"서**별**강** **동**7**1**번**","0318","0175","새*빌*",202009,19000,"2017",69.54,5,370,0.07011
"1147010200102310080","202101","11470-3551","11470-100234327","63","서**별**양** ** **6**1**",33,"서**별**강** **동**7**6**","0713","0035","한*주* *차",202106,13000,"2021",36.06,1,197,0.09091
"1147010300109720009","202102","11470-100225700","11470-100201356","24","서**별**양** **동**5**3**",45.38,"서**별**양** **동**5**1**지**","0931","0001","대*주*(*동*",202006,9000,"2002",43.26,3,447,0.09762
"1147010200103150013","202104","11470-100211365","11470-100218408","28","서**별**양** **동**6**3**",58.56,"서**별**양** ** **7**1**","0231","0001","거*",201911,21000,"1995",51.18,3,378,0.12215
"1147010100110000012","202103","11470-100216096","11470-69221","33","서**별**양** ** **6**번**",62.73,"서**별**양** **동**2**2**","0927","0020","남*주* *2*",202104,25000,"2001",40.77,2,430,0.08381
"1147010100109600009","202102","11470-2381","11470-79897","74","서**별**양** **동**7**8**",59.91,"서**별**양** ** **9**번**","0657","0078","효*그*빌",202004,19000,"2018",36.3,2,0,0.08706
"1147010300100780029","202009","11470-17925","11470-100214931","5","서**별**양** **동**7**1**지**",56.12,"서**별**양** ** **1**5**","0539","0007","미*주* *동",201910,18900,"2017",30.05,2,214,0.04189
"1147010200107770005","202006","11470-20030","11470-84713","26","서**별**양** **동**6**9**",41.69,"서**별**양** **동**6**5**","0973","0093","남*쉐*빌",201904,10700,"2001",41.54,4,99,0.03371
"1147010300109550007","202007","11470-18546","11470-83652","77","서**별**양** **동**0**-**지**",23.47,"서**별**양** ** **6**번**","0884","0091","다*빌*",201902,17000,"2002",61.41,1,432,0.12215
"1147010300109670004","202004","11470-6911","11470-144819","8","서**별**양** ** **-**9**",51.26,"서**별**양** **동**4**1**지**","0469","0006","성*빌*",202006,8500,"2002",68.52,3,266,0.08855
"1147010100108890016","202002","11470-100216733","11470-80331","48","서**별**양** **동**5**1**",29.06,"서**별**양** ** **2**번**","0318","0015","대*연*C*",201908,8000,"1989",54.17,3,336,0.1097
"1147010300109910011","202011","11470-21606","11470-100217954","63","서**별**양** ** **3**번**",40.12,"서**별**양** ** **3**6**","0943","0003","궁*빌*",202007,15000,"2019",68.87,3,393,0.09758
"1147010300100970005","202102","11470-100223867","11470-108494","23","서**별**양** **동**9**1**지**",36.01,"서**별**양** **동**9**2**지**","0963","0007","목*쉐*빌",201907,10000,"2014",36.51,1,109,0.10505
"1147010100109170011","202005","11470-10356","11470-66344","6","서**별**양** ** **9**6**",58.2,"서**별**양** ** **9**번**","0924","0008","스*이*빌",202103,10000,"1994",37.17,4,373,0.07608
"1147010300109630018","202011","11470-10786","11470-100202232","76","서**별**양** **동**6**2**",50.25,"서**별**양** ** **1**0**","0526","0015","녹*주*(*차*",202005,22400,"1987",40.73,1,338,0.13056
"1147010300109270016","202103","11470-100223467","11470-80501","148","서**별**양** **동**5**7**",37.92,"서**별**양** **동**9**1**지**","0725","0012","(*8*3*)",202104,20000,"1988",53.32,2,365,0.05493
"1147010300109730003","202002","11470-100216165","11470-113931","10","서**별**양** **동**0**5**",49.22,"서**별**양** **동**1**-**번**","0231","0002","진*홈*운*1*2*",202101,12000,"1996",69.91,2,471,0.11719
"1147010300109650003","202002","11470-9747","11470-102915","12","서**별**양** ** **9**번**",54.69,"서**별**양** **동**7**6**","0547","0009","현*빌*트*차",202011,16500,"1986",59.75,2,169,0.24952
"1147010200103180097","202002","11470-7712","11470-141404","10","서**별**양** **동**2**1**지**",44.96,"서**별**양** ** **4**3**","0988","0002","광*예*인*차*9*5*1*)",202011,15000,"2002",54.15,1,445,0.05117
"1147010100110250003","202009","11470-8579","11470-84709","28","서**별**양** **동**3**3**지**",59.15,"서**별**양** **동**2**4**","0939","0006","동*주*",202006,16800,"2010",60.06,4,467,0.09019
"1147010300109220008","202006","11470-17195","11470-100216610","50","서**별**양** **동**7**번**",67.92,"서**별**강** **동**0**-**번**","0907","0006","현*빌*A*",202003,9500,"2002",59.34,2,361,0.13394
"1147010100109500021","202101","11470-100224609","11470-100233950","4","서**별**양** **동**6**2**지**",31.22,"서**별**양** **동**6**8**","0945","0010","삼*쉐*빌",202004,10000,"2001",28.5,1,443,0.10693
"1147010200107190007","202007","11470-100217145","11470-53479","51","서**별**양** ** **7**3**",70.51,"서**별**양** ** **4**0**지**","0954","0004","제*엘*운*(*1*-*2*",202004,16000,"2015",76.2,4,305,0.1235
"1147010200102310111","202001","11470-19105","11470-70894","135","서**별**양** ** **1**번**",39.87,"서**별**양** **동**0**-**번**","0534","0007","예*팰*스*0*",202007,22000,"1993",60.58,2,404,0.12173
"1147010200107770008","202009","11470-100234908","11470-84976","22","서**별**양** ** **4**0**지**",49.23,"서**별**강** **동**5**3**지**","0926","0009","로*하*츠*1*4*-*3*",201907,24000,"2011",59.97,4,143,0.14841
"1147010200107320005","202009","11470-12098","11470-100239820","8","서**별**양** **동**4**1**지**",39.41,"서**별**양** **동**4**1**지**","0318","0036","연*넥*트",202010,9500,"1987",33.18,3,258,0.11325
"1147010200107920013","202105","11470-17810","11470-87279","89","서**별**양** ** **4**번**",75.9,"서**별**양** ** **1**2**","0745","0002","대*빌* *차",202010,11000,"1986",76.77,2,421,0.04365
"1147010300109730018","202105","11470-100183572","11470-100217774","23","서**별**양** ** **8**번**",50.59,"서**별**양** **동**4**7**","0318","0026","에*빌*",202106,21000,"2014",52.68,3,410,0.13198
"1147010300109630005","202010","11470-19093","11470-107836","63","서**별**양** **동**5**1**지**",40.01,"서**별**양** ** **8**4**","0952","0089","칭*그*맨*",202009,18000,"2018",28.38,4,180,0.03691
"1147010200107460009","202001","11470-9184","11470-107861","161","서**별**양** **동**6**2**",44.85,"서**별**양** **동**1**-**지**","0994","0007","현*예*",202104,8000,"1988",41.11,1,99,0.0394
"1147010200102310208","202006","11470-100227208","11470-93237","29","서**별**양** **동**4**2**",54.17,"서**별**강** **동**0**-**지**","0242","0015","현*빌*(*9*7*",202106,19940,"2016",52.02,3,202,0.10347
"1147010300100760017","202003","11470-100231684","11470-75995","32","서**별**양** ** **4**0**",49.48,"서**별**양** ** **5**7**","0928","0017","월*메*디*(*2*-*0*)",202103,10000,"1987",24.56,2,333,0.12447
"1147010200105290016","202003","11470-15489","11470-132419","3","서**별**양** **동**1**1**지**",43.29,"서**별**양** **동**4**1**","1039","0007","목*펠*스*7*4*1*)",202009,16000,"1989",38.4,5,373,0.10463
"1147010300109640004","202102","11470-15890","11470-133633","3","서**별**양** ** **3**번**",41.15,"서**별**양** **동**6**2**","0318","0004","목*하*빌*3*8*1*4*",202004,11000,"2011",36.51,2,19,0.03229
"1147010100109360012","202102","11470-100218808","11470-76477","98","서**별**양** ** **5**0**",29.86,"서**별**양** ** **9**6**","1215","0001","세*주*(*2*-*)",201907,15100,"1989",70.55,2,307,0.01161
"1147010100109900007","202009","11470-16446","11470-100240795","9","서**별**양** ** **8**1**지**",46.59,"서**별**양** **동**3**1**지**","0558","0020","아*도*2",202011,14000,"1992",64.2,3,491,0.06683
"1147010300109720008","202008","11470-100218987","11470-92414","6","서**별**양** ** **6**3**",59.99,"서**별**양** **동**4**8**","0927","0010","온*하*빌",201908,17800,"2002",41.08,3,447,0.04145
"1147010200103240186","202004","11470-18168","11470-100205265","41","서**별**양** ** **8**4**지**",36.45,"서**별**양** ** **-**번**","0534","0008","럭*그*빌",202001,9000,"1982",46.21,2,472,0.08477
"1147010200107450005","202011","11470-5824","11470-76497","33","서**별**양** **동**1**4**",41.99,"서**별**양** ** **1**0**","0912","0026","새*아*빌",202003,30600,"2002",37.27,2,469,0.09565
"1147010100109170011","202011","11470-100197602","11470-123284","19","서**별**양** ** **1**9**",34.71,"서**별**양** ** **8**9**지**","0953","0007","새*빌*3* *동",201907,18500,"2010",59.31,3,331,0.03405
"1147010200103180010","202011","11470-100209321","11470-100204311","101","서**별**양** ** **0**2**",50.34,"서**별**양** **동**6**1**지**","0571","0002","S*스*트*빌",202003,21000,"1988",81.36,1,172,0.07283
"1147010200103180209","202006","11470-14454","11470-93507","6","서**별**양** ** **5**9**",32.01,"서**별**양** **동**7**1**지**","0537","0153","효*빌*에*동",202008,15000,"2002",28.13,4,487,0.02393
"1147010100111990010","202101","11470-100228109","11470-117219","11","서**별**양** ** **8**번**",38.67,"서**별**양** ** **1**1**지**","0318","0004","효*빌*(*3*-*2*)",202106,18000,"2004",39.74,3,180,0.12266
"1147010200109640000","202102","11470-100225888","11470-82616","27","서**별**양** **동**3**1**지**",41.67,"서**별**강** **동**8**2**지**","0996","0018","대*이*캐*",202003,18000,"1988",58.88,1,241,0.05365
"1147010300109270013","202105","11470-12076","11470-82613","85","서**별**양** **동**0**2**지**",37.78,"서**별**양** **동**0**1**","0734","0026","우*빌*(*동*",202010,18000,"2000",59.92,2,276,0.13574
"1147010300104250005","202004","11470-6042","11470-108556","47","서**별**양** ** **0**6**",63.45,"서**별**양** ** **-**4**","0480","0105","럭*다*대*택",201808,17300,"1998",40.28,1,24,0.13559
"1147010300100840016","202009","11470-17341","11470-100182870","19","서**별**양** **동**2**1**지**",48.28,"서**별**양** **동**0**-**번**","0879","0029","휴*파*타*(*1*-*5*",202010,16500,"1988",55.24,1,338,0.10619
"1147010200107600026","202003","11470-19460","11470-107791","16","서**별**양** **동**8**번**",41.1,"서**별**양** ** **1**9**","0884","0003","라*하*스",202105,26000,"2007",32.81,2,442,0.03002
"1147010300109730011","202007","11470-21141","11470-101054","32","서**별**양** ** **1**2**지**",48.15,"서**별**양** **동**8**8**","0714","0026","선*빌",202003,9000,"2014",24.56,4,62,0.14044
"1147010200103240014","202105","11470-5539","11470-100189934","45","서**별**양** ** **8**7**지**",46.73,"서**별**양** **동**6**3**","0537","0037","동*1*차*동",201908,19000,"2002",58.56,2,21,0.01983
"1147010300102310008","202103","11470-4916","11470-79495","31","서**별**양** ** **8**3**지**",26.6,"서**별**양** **동**6**5**","0907","0017","럭*그*빌",201907,20000,"1988",32.01,2,187,0.00788
"1147010200105440018","202010","11470-15299","11470-68428","15","서**별**양** ** **5**4**",40.65,"서**별**양** ** **9**번**","0502","0007","우*빌*(*동*",202002,15900,"2018",68.65,4,311,0.11634
"1147010300109930013","202103","11470-17410","11470-109264","29","서**별**양** **동**7**1**지**",36.64,"서**별**양** **동**2**3**","0318","0009","세*주* *동",201910,22050,"1994",39.5,3,372,0.09889
"1147010200107800004","202006","11470-18559","11470-107931","26","서**별**양** ** **5**6**",27.35,"서**별**양** **동**5**1**지**","0932","0009","경*빌*",202010,11000,"2012",54.24,1,329,0.03934
"1147010300105200004","202010","11470-20486","11470-81036","117","서**별**양** ** **9**번**",31.56,"서**별**양** ** **1**0**지**","0458","0065","은*(*1*-*)",202104,15000,"1992",60.21,5,302,0.01069
"1147010300109540006","202008","11470-13999","11470-71921","2","서**별**양** ** **4**1**",63.32,"서**별**양** ** **4**번**","0318","0002","건*체*빌",202007,7500,"1990",40.28,6,123,0.01608
"1147010300109320003","202011","11470-11482","11470-124819","8","서**별**양** **동**7**6**",62.14,"서**별**양** **동**9**1**지**","1196","0040","신*주* *동",202001,10500,"1987",61.38,1,0,0.01618
"1147010100109280027","202001","11470-10157","11470-69618","1","서**별**양** ** **8**2**",64.21,"서**별**양** ** **1**번**","0433","0085","흥*아*빌*A",201908,24150,"2006",71.37,3,168,0.11143
"1147010100101790001","202006","11470-100215086","11470-84646","64","서**별**양** **동**4**1**지**",36.45,"서**별**양** ** **1**9**","0506","0010","태*맨*",202004,20000,"2000",63.75,1,417,0.01255
"1147010300109640003","202101","11470-100197986","11470-83983","103","서**별**양** **동**0**-**지**",59.34,"서**별**양** ** **1**3**","0242","0011","큐*투",202105,26000,"2019",35.25,4,187,0.07326
"1147010200104990014","202010","11470-100212465","11470-100224914","18","서**별**양** ** **8**3**지**",60.6,"서**별**양** **동**6**5**","0789","0019","삼* *h* *k*",201910,9000,"2002",25.22,4,276,0.09189
"1147010300104850005","202003","11470-100184447","11470-77042","91","서**별**양** **동**6**5**",35.4,"서**별**양** ** **9**8**","0504","0004","창*A*G*S*Ⅱ",202004,24500,"2019",63.81,4,266,0.04866
"1147010200103150039","202005","11470-20139","11470-100234286","65","서**별**양** **동**0**4**",26.33,"서**별**양** ** **5**5**","0991","0001","수*아*",202005,22000,"2001",39.67,4,434,0.10951
"1147010300101110025","202101","11470-100206745","11470-86986","60","서**별**양** **동**1**-**지**",29.54,"서**별**양** ** **1**5**지**","0921","0020","청*그*빌*",202010,15750,"1994",41.13,1,184,0.15352
"1147010300100230028","202005","11470-11579","11470-90910","41","서**별**양** **동**4**9**",55.01,"서**별**양** ** **2**2**","0011","0132","반*(*)",202005,7000,"1992",41.18,3,404,0.03937
"1147010200102310082","202012","11470-13020","11470-73636","141","서**별**양** **동**8**4**",61.42,"서**별**양** **동**2**4**","0971","0005","설*주*",202010,10000,"1995",38.11,3,449,0.02682
"1147010300101400019","202003","11470-16402","11470-100212634","39","서**별**양** **동**6**2**지**",40.18,"서**별**양** ** **7**7**","0964","0008","G*S*P*r* *동",202007,23500,"1987",59.54,1,349,0.07196
"1147010200100420034","202102","11470-18799","11470-122752","17","서**별**양** **동**5**9**",38.86,"서**별**양** ** **7**번**","0945","0023","동*주*(*5*-*1*",202101,12000,"2011",37.86,5,314,0.0845
"1147010300104580003","202010","11470-19737","11470-115739","3","서**별**양** ** **3**6**",55.17,"서**별**양** ** **7**번**","0923","0005","삼*쉐*빌",202010,10000,"1986",57.28,1,476,0.11331
"1147010100109450005","202104","11470-3539","11470-87282","103","서**별**양** **동**2**1**지**",37.26,"서**별**양** ** **9**6**","0760","0002","아*로*크*",202010,16000,"2001",48.87,5,169,0.06238
"1147010200103150088","202104","11470-100239308","11470-52923","40","서**별**양** ** **1**4**지**",49.08,"서**별**양** ** **1**4**","0914","0003","성*하*츠*라*동",202007,15750,"2001",61.38,1,260,0.14795
"1147010100109670018","202008","11470-10146","11470-134323","3","서**별**양** **동**6**7**",26.3,"서**별**양** ** **1**3**","0946","0009","동*주*나*",201912,20000,"2001",33.01,2,300,0.11898
"1147010300105430004","202007","11470-5369","11470-79012","14","서**별**양** **동**1**1**지**",31.88,"서**별**강** **동**3**1**지**","0413","0005","블*하*스",202103,24000,"1994",60.32,2,159,0.04258
"1147010100109270007","202004","11470-100201065","11470-74814","73","서**별**양** ** **0**6**",58.56,"서**별**양** ** **6**번**","0233","0010","우*인*빌",202105,21000,"1997",36.12,4,0,0.10058
"1147010100109120014","202011","11470-100208445","11470-79918","7","서**별**양** ** **-**번**",54.83,"서**별**양** **동**7**9**","0410","0006","한*주* *동",202001,20000,"2015",44.32,4,414,0.0497
"1147010300110060017","202105","11470-3147","11470-100231001","7","서**별**양** **동**4**2**",41.13,"서**별**양** **동**2**2**지**","0971","0032","삼*주*",202002,18500,"2018",59.08,2,236,0.05324
"1147010300109110010","202010","11470-21247","11470-132064","18","서**별**양** **동**6**1**지**",28.61,"서**별**양** **동**0**1**지**","0963","0012","청*주*(*동*",202102,18300,"2002",41.14,1,420,0.12057
"1147010200104980029","202008","11470-2383","11470-63787","19","서**별**양** ** **0**0**",21.21,"서**별**양** **동**7**6**","0725","0007","서*주*(*2*1*)",201911,9000,"2011",56.47,2,123,0.13444
"1147010300100720013","202011","11470-20139","11470-100215145","25","서**별**양** **동**4**1**지**",38.11,"서**별**양** ** **8**5**지**","0539","0043","삼*그*빌*(*3*)",201910,15000,"1986",67.78,1,430,0.07156
"1147010300109340013","202012","11470-11334","11470-77265","86","서**별**양** **동**8**3**",42.39,"서**별**양** **동**9**2**","0315","0007","서*베*트*",202001,17000,"1987",70.55,2,269,0.12432
"1147010200105380000","202001","11470-7556","11470-87273","145","서**별**양** ** **4**번**",39.31,"서**별**강** **동**7**8**지**","0500","0007","약*주*",202008,9000,"1990",20.78,2,82,0.14756
"1147010300101430025","202006","11470-19756","11470-100181893","140","서**별**양** **동**5**3**",79.93,"서**별**양** ** **1**2**지**","0955","0050","월*시*빌",202008,28000,"1992",36.41,3,65,0.14654
"1147010200107230006","202002","11470-6762","11470-125563","17","서**별**양** **동**4**1**지**",54.09,"서**별**양** **동**8**1**지**","0930","0004","건*아*라*7*2*1*)",202106,17000,"1987",29.96,1,378,0.05682
"1147010300100730009","202001","11470-100211365","11470-107608","48","서**별**양** **동**3**3**",41.18,"서**별**양** **동**3**5**","0914","0004","태*빌*",202006,22950,"2002",66.18,2,67,0.1495
"1147010200107930006","202103","11470-100201985","11470-100229491","69","서**별**양** **동**2**8**",27.69,"서**별**양** **동**5**9**","0935","0010","주*빌*5*3*2*)",202106,17000,"2020",58.23,4,174,0.11673
"1147010100110020016","202003","11470-15439","11470-131675","52","서**별**양** ** **5**3**",66.22,"서**별**양** **동**2**3**지**","0942","0004","8*주*(*동*",202105,16000,"2003",47.7,2,160,0.08789
"1147010200107400016","202008","11470-9533","11470-74390","3","서**별**양** ** **7**번**",29.44,"서**별**양** ** **1**3**지**","0943","0027","대*이*캐*2*",201910,23000,"2015",29.32,5,303,0.12552
"1147010300109250010","202104","11470-19564","11470-77976","36","서**별**양** **동**1**1**지**",50.28,"서**별**양** **동**1**1**지**","0231","0021","유*아*빌*",202001,22050,"1990",29.43,4,445,0.11606
"1147010200103180169","202002","11470-20699","11470-100183009","10","서**별**양** **동**2**9**",39.05,"서**별**양** ** **3**번**","1003","0181","동*주*나*",202006,13000,"2003",29.42,3,263,0.0391
"1147010200105330015","202006","11470-16130","11470-100207172","56","서**별**양** ** **0**3**",35.31,"서**별**양** **동**0**2**지**","0421","0011","녹*빌*(*동*",202009,14000,"2019",62.25,6,197,0.03016
"1147010200107940009","202002","11470-2380","11470-83052","38","서**별**양** **동**2**6**",63.26,"서**별**강** **동**7**1**","0914","0005","삼*주* *동",201912,9000,"1989",70.14,1,367,0.06178
