"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","대상지주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","건물이름(BLDNAME)","건물(동)이름(DONGNAME)","호_이름(HONAME)","면적대비_월세시세(AREA_PRED_RENT)","예측_월세시세(PRED_RENT)"
"1121510300102110022","202008","11230-100229372","11500-100297773","서**별**도** ** **1**3**","11305","10300","1","0637","0011","","","402",1.5271,77
"1130510300103920102","202103","11650-100248294","11590-64612","서**별**강** **동**1**2**지**","11215","10600","1","0598","0019","","","201호",0.8081,45
"1171010600101100009","202104","11290-22135","11710-130033","서**별**관** **동**6**-**번**","11290","10100","1","0197","0013","","","403",1.8388,59
"1111011500102620022","202007","11350-100192553","11320-100206415","서**별**중** **동**1**1**지**","11530","10200","1","0093","0003","반*루*빌*지","우경주택","304호",1.5338,55
"1147010300100450030","202104","11110-12964","11290-70216","서**별**은** **동**-**번**","11410","10100","1","0618","0005","","금강하이츠빌라","4층-401호",1.6762,60
"1162010100102170001","202002","11230-25434","11500-72683","서**별**노** **동**0**-**지**","11380","10700","1","0134","0027","아*하*","","301호",0.9029,49
"1132010700106230093","202105","11650-6469","11500-100238323","서**별**강** **동**-**번**","11470","10100","1","0791","0019","","","202호",0.936,52
"1162010200106100297","202101","11440-27073","11410-100200611","서**별**강** **동**9**2**","11530","10200","1","0031","0194","신*리*빌","","201",1.6724,74
"1129013800102240017","202104","11620-9509","11545-100204312","서**별**강** **동**0**2**지**","11305","11000","1","0326","0260","라*언*드*5*","","104",0.8951,65
"1162010100104800109","202008","11650-100216529","11470-100217713","서**별**노** **동**1**5**지**","11140","10100","1","0143","0014","","","401",1.3315,58
"1168011400106410000","202005","11440-21288","11215-100250384","서**별**마** **동**0**2**","11590","10700","1","0082","0029","금*아*빌","","704",2.0095,57
"1117012100100290051","202006","11110-19037","11410-85650","서**별**강** **동**0**3**지**","11140","10200","1","0278","0008","소*빌*","","302",0.659,45
"1150010300104240037","202002","11710-11794","11470-100197991","서**별**양** **동**1**4**지**","11500","10800","1","0311","0031","하*동*구*라","","101",0.7982,56
"1144012300103760013","202009","11290-21908","11650-100267298","서**별**은** **동**9**8**","11500","10300","1","0104","0072","역*동*세*주*신*공*","태원빌라","301",1.6521,48
"1171010700101930010","202005","11590-16607","11650-55539","서**별**서** **동**9**8**","11710","11500","1","0183","0002","","","",1.8195,56
"1130510100104030034","202004","11350-15474","11440-100192744","서**별**강** ** **8**7**지**","11500","10400","1","0183","0016","","","402호",1.159,67
"1111018200101390021","202002","11380-11649","11470-94364","서**별**광** **동**1**3**지**","11470","10300","1","0432","0049","","주건축물제1동","502",1.0959,53
"1114016200104321787","202002","11215-14467","11350-69573","서**별**성** **동**8**1**번**","11650","16600","1","0562","0104","","","303",0.8314,42
"1141011800101910220","202103","11500-23378","11545-52072","서**별**강** ** **6**9**","11530","10700","1","0479","0039","","","",1.0912,36
"1111010900101000001","202002","11305-30648","11710-173754","서**별**서** **동**3**-**번**","11320","12000","1","0792","0031","명*하*빌","","302",1.5312,61
"1132010600103180044","202102","11545-3706","11305-85707","서**별**은** **동**-**번**","11260","10200","1","0344","0021","제*파*빌","","102호",1.5548,339
"1147010300101440002","202008","11470-12397","11560-100205427","서**별**강** **동**7**1**지**","11500","11900","1","0674","0004","서*하*스","주건축물제1동","101",2.4247,50
"1135010200103760027","202012","11680-699","11410-89592","서**별**은** **동**3**1**지**","11740","10900","1","0028","0032","","","",2.0016,43
"1138010800100180019","202101","11710-6069","11710-100469572","서**별**중** **동**7**5**","11590","10900","1","0421","0032","","","302호",0.9392,73
"1153010600100570011","202104","11740-100233525","11215-74705","서**별**강** **동**2**5**","11545","10300","1","0187","0375","새*센*빌","","402",0.8273,61
"1123010600103210010","202102","11290-4170","11650-100205237","서**별**동** **방**6**-**지**","11170","10500","1","0680","0002","월*빌","","302",1.2881,38
"1135010500101370012","202001","11500-6740","11170-57336","서**별**송** **동**5**4**","11620","10900","1","0281","0004","그*파*빌","","",0.9677,55
"1168010600108980019","202006","11530-22128","11680-70287","서**별**서** **동**9**1**지**","11500","10100","1","0158","0002","","","302",0.5244,64
"1162010200104990027","202012","11620-100256344","11320-100192490","서**별**강** **동**5**1**지**","11320","10300","1","0663","0022","각*연*","","202호",1.0039,65
"1138010300104340002","202009","11650-100243794","11305-34436","서**별**송** **동**7**1**","11710","17000","1","0402","0015","","","3층302",0.8657,54
"1132010500104850001","202105","11290-7302","11470-103738","서**별**관** **동**5**-**번**","11740","10300","1","0206","0006","","","202",1.6043,55
"1159010300104830009","202006","11290-100248887","11290-45073","서**별**서** **동**3**7**지**","11320","10600","1","0966","0014","","","305",1.6463,74
"1174010900100500023","202010","11530-100183553","11410-100181411","서**별**성** **동**2**번**","11305","10200","1","0119","0001","","","401",0.8926,60
"1138010400102850220","202006","11740-100231884","11620-100224485","서**별**서** **동**-**지**","11320","10300","1","0485","0083","","","301",0.9875,103
"1144012200104350002","202005","11380-18961","11500-79551","서**별**성** **동**8**9**","11260","10900","1","0042","0013","한*빌","","401",1.1664,88
"1150010300110370015","202012","11410-6525","11110-62871","서**별**동**구**안**4**-**지**","11590","11900","1","0129","0004","","101동","3층301호",2.286,35
"1150010900105830002","202010","11290-4579","11620-100211983","서**별**강** **동**0**1**지**","11170","10300","1","0038","0017","","","501",0.9645,62
"1150010300110390020","202008","11380-10864","11320-100194094","서**별**마** **동**4**2**","11710","10800","1","1344","0022","M*O* *i*l","","202호",1.4343,53
"1129013300102260056","202008","11305-100220711","11290-77915","서**별**송** **동**3**","11215","12600","1","0243","0006","","덕원빌라","201",1.0325,58
"1130510300102960030","202101","11530-100194365","11650-100221640","서**별**마** **동**7**번**","11350","10900","1","0145","0017","다*네*트*","","501",2.6652,70
"1150010800106630002","202009","11710-9645","11440-100232685","서**별**마** **동**2**6**","11545","10100","1","0142","0187","","","203",0.8815,90
"1130510100102580548","202004","11710-100178734","11470-76543","서**별**송** **동**8**7**","11290","10300","1","0300","0000","","","",1.1485,70
"1138010300101970000","202004","11500-11184","11500-100271100","서**별**은** **동**8**5**","11500","10500","1","0346","0213","유*소*베","","2층202호",1.3804,42
"1132010500104480007","202101","11260-13740","11710-119720","서**별**도** **동**5**7**","11380","10400","1","0043","0076","홈*아* *얄","","501",1.7875,60
"1126010500104770007","202010","11620-28532","11215-100221962","서**별**강** **동**6**7**지**","11560","10300","1","0610","0014","남*아*빌","","202",0.8969,62
"1153010700103400020","202010","11620-30296","11740-73062","서**별**은** **동**9**9**","11680","10700","1","0060","0059","한*힐*리* *든*슬","","401호",0.8845,64
"1159010200102140037","202103","11500-100223810","11380-100257877","서**별**중** **동**9**4**지**","11620","10800","1","0325","0040","","주건축물제1동","201",1.0918,49
"1159010200101260129","202009","11500-100234622","11440-100208991","서**별**강** **동**9**1**지**","11740","10300","1","0245","0088","미*빌*","","102",1.0149,40
"1165010200102560004","202102","11680-100210024","11650-100234061","서**별**중** **동**2**6**지**","11650","10700","1","0647","0080","","주원베르빌102동","301",1.1315,53
"1144010100107630006","202009","11710-100475595","11680-81418","서**별**마** **동**9**1**","11620","10300","1","0200","0148","대*아*빌","","303",4.1436,54
"1174010900105610000","202104","11140-21742","11380-100246798","서**별**강** **동**9**1**","11305","11000","1","0429","0029","상*미*","보람홈타운","2층2",1.1518,67
"1126010200102150006","202104","11305-100208941","11440-78799","서**별**강** ** **5**3**","11470","10200","1","0087","0001","","","403호",0.9208,51
"1130510100103150068","202006","11305-29358","11500-116166","서**별**양** **동**3**2**지**","11680","13600","1","0227","0015","","","402호",1.5197,66
"1171010600101010023","202009","11710-12630","11500-100218789","서**별**구** **동**2**2**지**","11530","10800","1","0877","0012","","","301",1.0896,63
"1165010200103670000","202006","11215-8211","11290-127277","서**별**마** **동**2**4**지**","11500","11900","1","0474","0003","","","404",0.938,45
"1144012200104300008","202101","11650-100216413","11620-99290","서**별**강** **동**5**번**","11470","10200","1","0285","0026","동*하*츠","102","404",1.1675,51
"1150010300110160011","202007","11305-100221579","11500-31629","서**별**강** **동**8**3**지**","11440","16200","1","0020","0002","","","402",1.8822,71
"1154510300100030119","202012","11410-100223282","11650-91990","서**별**송** **동**7**번**","11380","10100","1","0359","0038","","","501",1.3419,48
"1144010900100850020","202104","11470-6308","11710-70394","서**별**강** **동**1**5**","11545","10600","1","0171","0004","보*빌*","","401호",1.2023,63
"1138010300102450034","202105","11500-20288","11380-100195968","서**별**서** **동**0**2**","11260","10200","1","0419","0054","","","301호",3.0521,89
"1171010400100910011","202006","11215-100187938","11440-95699","서**별**도** **동**1**6**","11500","10300","1","0570","0035","스*이*빌","","303",1.3085,61
"1153010900100890004","202009","11470-100226559","11500-116428","서**별**은** **동**-**번**","11230","10300","1","1507","0048","마*스*트*","","303호",1.3386,62
"1129013300103720017","202010","11350-10729","11215-84156","서**별**마** **동**0**4**","11350","10900","1","0541","0110","","나동","303",1.9581,64
"1153010200105490014","202009","11215-15149","11290-100245476","서**별**용** **동**4**1**번**","11650","10600","1","0301","0013","","무니네하우스","401호",1.2966,63
"1147010300109270011","202005","11680-100272874","11290-67838","서**별**금** **동**3**1**지**","11215","12100","1","0070","0001","","","502",0.8745,58
"1153010700103340004","202001","11740-100227969","11680-167414","서**별**서**구**제**1**-**4**","11305","10300","1","0329","0018","","","102호",1.9148,69
"1162010100100150014","202001","11740-100252806","11500-100219929","서**별**동**구**기**1**8**0**","11380","10300","1","0098","0011","휴*스*","","501",0.9969,51
"1132010700106980011","202006","11410-100223282","11545-57993","서**별**강** **동**1**-**지**","11110","10900","1","0381","0012","우*빌*","라동","604",1.0114,53
"1141011000100010170","202102","11380-30045","11710-173812","서**별**광** **동**3**7**","11710","10700","1","0151","0004","청*빌*","현대파크빌","201",1.0988,75
"1174010900101850035","202006","11410-26469","11530-77533","서**별**강** **동**5**1**","11260","10900","1","0811","0021","한*빌*","","102호",0.8649,57
"1144012000104820027","202006","11440-21281","11470-95374","서**별**마** **동**3**7**","11380","10100","1","0444","0033","다*슈*빌","","301호",0.9546,62
"1144012600100780000","202005","11470-6215","11740-100173419","서**별**동** **동**0**-**번**","11740","10600","1","1085","0007","파*빌","","",1.0212,60
"1153010700100460009","202003","11170-25089","11350-170707","서**별**강** **동**1**4**","11260","10700","1","0505","0047","다*홈*운","가","102호",1.1797,79
"1150010300101610024","202005","11440-32168","11410-65278","서**별**동** **동**7**1**번**","11110","12200","1","0001","0011","","","302",1.0574,57
"1138010300104800084","202008","11215-8852","11215-100238120","서**별**강** **동**4**3**지**","11350","10100","1","0007","0466","K*T*W*R*2","","102",2.3888,54
"1154510200109640041","202003","11470-100183528","11620-116105","서**별**도** ** **3**3**","11680","10200","1","0867","0021","드*빌","","501",0.7171,53
"1168010100106970040","202009","11545-100219197","11500-100263133","서**별**마** **동**8**3**지**","11650","10800","1","0055","0005","연*주*","","402",2.4802,58
"1129013800100750367","202001","11620-100244693","11470-72036","서**별**구** **동**4**1**지**","11440","13000","1","0048","0022","C* *름*","","3층302호",1.4921,38
"1141012000100640047","202011","11500-100279592","11440-100196414","서**별**성** **동**8**1**번**","11710","10100","1","0048","0133","","","402",1.7221,46
"1159010700101900199","202101","11410-10266","11710-149427","서**별**구** **동**5**8**","11590","10100","1","0232","0013","에*에*치*라","","501호",1.2654,61
"1130510300101210004","202003","11680-100229990","11710-100497459","서**별**영**구**등**2**2**5**지**","11320","10900","1","0089","0000","","","201",0.4974,50
"1126010400101820017","202009","11230-100200925","11290-100232977","서**별**양** ** **7**3**","11740","10300","1","0053","0039","화*월*빌","","401",1.1561,61
"1138010400102880000","202003","11710-100238789","11380-110664","서**별**동**구**안**3**-**번**","11500","10800","1","0660","1689","","주건축물제1동","202",0.8829,56
"1162010100116540015","202002","11380-38824","11620-63789","서**별**강** **동**4**지**","11740","10100","1","0008","0002","효*주*","","303",1.2917,56
"1153010700104570015","202008","11740-3087","11200-100180750","서**별**성** **동** **2**번**","11110","10600","1","0563","0022","","","301호",0.8037,59
"1153010700103190017","202001","11500-100200322","11440-100196422","서**별**강** **동**2**-**지**","11215","10300","1","0585","0005","메*저*우*","","",1.7792,95
"1153010900101470016","202011","11620-5965","11680-67952","서**별**노** **동**0**1**지**","11305","10200","1","0409","0009","청*그*빌","","402호",1.141,70
"1168010500100320006","202004","11380-100284074","11545-100238182","서**별**양** **동**0**1**지**","11305","10800","1","0180","0006","벨*하*스","","201호",1.3639,58
"1153010300101340060","202007","11740-100211831","11110-66612","서**별**구** ** **4**번**","11545","10200","1","1130","0008","동*아*맨*","","501",1.9355,44
"1174010500103930008","202102","11650-100234054","11530-100192710","서**별**강** **동**7**1**지**","11320","10300","1","0118","0002","베*니*리*스","","402호",1.1315,55
"1171011400101280106","202012","11740-8497","11620-100223701","서**별**은** **동**4**3**","11500","10300","1","0141","0101","로*오*베*트*","","2층201호",1.4748,49
"1138010300102380184","202005","11170-483","11590-59754","서**별**성** **동** **6**2**번**","11710","10400","1","0046","0006","에*쉐*빌","이동","501",1.0417,48
"1120010500107670013","202101","11305-100209341","11500-67074","서**별**마** **동**0**1**지**","11380","10600","1","0019","0006","","그린파크빌","302",1.1723,40
"1126010400101870024","202102","11320-16666","11215-34394","서**별**종** **동**1**1**지**","11290","10200","1","1134","0000","","","202",0.864,70
"1154510300109280007","202001","11440-31986","11320-24857","서**별**중** **동**3**1**지**","11470","10500","1","0001","0014","","","402",0.6685,53
"1141011900103810023","202103","11740-13757","11590-108579","서**별**관** **동**1**1**번**","11590","10100","1","0774","0025","삼*빌*","","303호",1.1996,74
"1121510100101070029","202009","11380-100293394","11710-131033","서**별**은** **동**7**4**","11545","10200","1","0245","0005","","14동","401",1.0915,35
"1144012200103670003","202012","11620-20278","11305-90715","서**별**도** **동**8**3**지**","11710","10300","1","0306","0063","마*바* *파","","102",0.9524,99
"1174010600104850001","202001","11305-28590","11215-100226615","서**별**송** **동**2**2**","11380","10900","1","0175","0042","","6동","203호",2.8103,66
"1174010900103150008","202010","11740-100200816","11680-202573","서**별**강** **동**3**번**","11680","13300","1","0001","0613","건*빌*","","302",1.0663,63
"1144012000103950117","202005","11290-100241514","11545-100201201","서**별**도** **동**1**4**지**","11470","10800","1","0043","0000","","","302호",0.762,47
"1150010300109950027","202003","11590-100228185","11110-63910","서**별**강** **동**3**3**지**","11440","10300","1","0168","0011","","","401",1.1589,66
"1144012400102390046","202005","11305-13599","11410-80715","서**별**광** **동**6**번**","11290","10300","1","0142","0001","오*동*랑*리","","3층 603호",1.4415,79
"1121510300102060034","202004","11290-100238310","11680-100262151","서**별**용** **동** **2**번**","11305","18400","1","0060","0000","","제B동","101",1.3604,43
"1171010500102910018","202003","11680-17465","11500-100268087","서**별**강** **동**6**1**지**","11680","10700","1","0439","0006","","","3층301호",0.8852,70
"1130510100101320049","202011","11380-33706","11740-100211834","서**별**관** **동**4**-**1**","11545","10600","1","0494","0419","동*그*빌","","",0.8514,47
"1144011100102500001","202103","11410-17436","11380-100291384","서**별**양** ** **8**번**","11500","10200","1","0093","0023","역*새*빌","A동","502",1.0417,59
"1162010100106730139","202004","11230-100225753","11470-100183410","서**별**구** **동**5**2**번**","11470","10200","1","0046","0004","히*팰*스","","301호",1.361,64
"1120010900101570000","202001","11470-12717","11710-103394","서**별**송** **동**3**2**","11440","10700","1","0204","0091","","","2층201호",1.5765,43
"1150010300100240151","202103","11305-17685","11320-100190053","서**별**도** **동**1**4**지**","11305","10600","1","0045","0008","","","201",1.295,63
"1154510300108620002","202011","11530-100220793","11470-100193787","서**별**영**구**길**9**번**","11260","11200","1","0414","0134","거*리*시","","203",1.0927,70
"1138010500100010009","202011","11440-31931","11740-100247276","서**별**강** **동**2**1**지**","11710","10100","1","0049","1825","","","301",4.1005,62
"1174010800104370029","202011","11740-100229269","11740-102920","서**별**구** **동**4**2**지**","11215","10500","1","0281","0027","","","202",1.9735,130
"1159010700104190046","202012","11740-10940","11320-100193338","서**별**송** **동**3**4**","11470","10100","1","0030","0035","후*아*빌","B동","302",2.6178,47
"1150010200105320005","202101","11590-100225695","11170-44301","서**별**은** **동**8**7**","11545","10100","1","0117","0005","","","2층2호",1.0246,49
"1165010700101070083","202002","11110-16594","11410-78436","서**별**성** **동** **9**번**","11710","10100","1","0180","0010","길*애*하*징","","201",2.8758,69
"1159010200104740007","202002","11530-19184","11590-92358","서**별**광** **동**4**3**지**","11410","10800","1","0974","0249","","","101",1.1267,43
"1121510700100750001","202001","11305-100224624","11305-68726","서**별**양** ** **6**번**","11650","10200","1","0575","0105","다*네*트*","","2층201호",2.135,54
"1153010900102780001","202005","11140-100207833","11710-100505609","서**별**노** **동**6**2**지**","11410","12800","1","1678","1103","맘*빌","","303",2.6171,66
"1162010200106260037","202008","11500-9310","11215-100209498","서**별**강** **동**1**2**지**","11290","10800","1","0836","0019","","Northern.Hillswlle","201호",0.8344,39
"1121510700100330023","202008","11500-9555","11200-56885","서**별**강** **동**5**4**번**","11620","10100","1","0193","0042","","","201",0.8613,60
"1150010300107780009","202104","11410-100210736","11380-104263","서**별**은** **동**7**1**","11290","10500","1","0200","0061","광*주*","108동","301",0.7424,72
"1154510300109530004","202008","11170-1368","11305-100183932","서**별**도** ** **8**0**","11620","11300","1","0299","0022","오*하*스","","204호",3.2189,62
"1121510500106000030","202104","11710-16467","11380-83504","서**별**영**구**림**7**-**번**","11260","10300","1","0184","0001","용*하*빌","","101호",0.8493,59
"1168010600109570017","202008","11500-100275332","11710-100479100","서**별**서**구**은**1**-**번**","11470","10700","1","0266","0009","금*빌","스카이가든","401",0.9348,61
"1150010300110470006","202010","11530-100192836","11410-70154","서**별**광** **동**8**2**지**","11680","10800","1","0368","0014","","","",1.0334,48
"1171010600100970007","202008","11680-18500","11710-82339","서**별**서** **동**2**9**","11410","10200","1","0646","0005","","","1층101호",1.2421,55
"1154510100101490023","202003","11215-100236480","11680-191789","서**별**중** **동**0**6**지**","11710","10800","1","0895","0007","천*빌*","101동","301",1.0471,59
"1171010400101030026","202012","11260-100232897","11215-100253617","서**별**서**구**가** **2**번**","11230","10400","1","0139","0024","","","404",1.0219,63
"1153010900101560017","202101","11260-100217000","11140-70915","서**별**강** **동**8**1**지**","11215","10100","1","0670","0072","","두산리치빌","2층3호",2.8571,57
"1126010500101370001","202007","11440-100250125","11620-100208838","서**별**구** **동**4**4**","11170","12100","1","0524","0006","","","301호",1.2085,66
"1171011200100360000","202009","11620-17464","11590-100184082","서**별**강** **동**0**2**번**","11410","13300","1","0005","0119","","","2층",1.4909,66
"1144012300104790071","202010","11470-13831","11650-28293","서**별**도** **동**0**1**지**","11545","10600","1","0131","0011","세*갤*리","","301",1.7059,44
"1165010700107310001","202105","11440-100216832","11545-100213723","서**별**은** **동**9**9**","11410","10500","1","0020","0001","","","501",1.2707,42
"1129013800102190182","202004","11380-33018","11260-100210825","서**별**구** **동**-**번**","11530","10200","1","0554","0004","","","402호",0.8541,50
"1171010400101760007","202102","11320-100196256","11650-116788","서**별**서** **동**6**1**지**","11710","10700","1","1640","0129","","","",2.0252,53
"1126010400103030004","202104","11215-100221389","11410-78106","서**별**마** **동**4**7**","11215","11100","1","0399","0088","","","201호",1.2187,66
"1150010300104520006","202006","11530-3605","11380-105417","서**별**도** **동**1**7**","11470","10300","1","0752","0075","예*팰*스*8*차","","202",0.864,53
"1162010200107590053","202006","11305-14021","11545-52060","서**별**은** **동**0**3**지**","11680","10800","1","0608","0007","","","405",1.8346,45
"1121510300100210017","202101","11410-22340","11410-76024","서**별**강** **동**0**1**지**","11650","10500","1","0027","0016","N*r*h*r*.*i*l*w*l*","","201호",1.9165,60
"1162010200105980083","202101","11710-12162","11710-100245228","서**별**송** **동**0**1**지**","11710","10200","1","0019","0003","아*존*","","1층101호",1.7054,53
"1168010800101500014","202104","11680-100195927","11350-65701","서**별**관** **동**1**8**지**","11170","10200","1","0289","0024","누*안*다*","","402",1.5574,68
"1150010300110830019","202103","11110-19845","11305-84899","서**별**강** **동**1**2**","11320","11500","1","0493","0022","","","101호",1.4875,44
"1159010200101830037","202012","11380-22113","11320-100183087","서**별**강** **동**8**9**","11530","10300","1","0460","0029","","","203",1.0503,61
"1123010600103210010","202102","11230-100185173","11440-111335","서**별**광** **동**4**4**","11215","10400","1","0264","0012","","","1층3",0.8582,70
"1162010200104710011","202002","11470-18814","11740-83121","서**별**강** **동**7**1**지**","11470","10300","1","0667","0000","","라동","203",0.849,73
"1159010700103160123","202001","11215-100221198","11545-42739","서**별**송** **동**8**번**","11305","10100","1","0120","0013","그*이* *","우리빌리지205","605",1.5554,45
"1126010200101240027","202102","11530-24669","11110-51922","서**별**은** **동**6**1**지**","11140","10100","1","0460","0013","","청운빌라18차","2층201호",0.9907,55
"1171010600101670010","202012","11710-20976","11530-52380","서**별**송** **동**2**8**","11710","11500","1","0780","0002","금*블*","","403",1.0356,63
"1168010800101490018","202010","11620-100261868","11305-100213290","서**별**강** **동**7**3**지**","11500","10100","1","0103","0002","진* *이*","","201호",1.5096,75
"1123010900102860024","202104","11440-4617","11410-48044","서**별**중** **동**8**6**","11620","10300","1","0468","0028","","","202",0.8497,52
"1150010300104550023","202101","11710-15391","11380-67345","서**별**마** **동**9**9**","11545","10700","1","1043","0011","보*리*빌","","601",1.1618,67
"1121510100102580026","202011","11215-8884","11500-76843","서**별**은** **동**0**1**지**","11440","11400","1","0275","0026","","에버그린빌","1층101호",1.9739,65
"1135010500104560137","202005","11380-100225569","11620-100226024","서**별**서**구**가** **7**번**","11410","11000","1","0147","0005","위*리*빌","102동","1층105호",1.4944,43
"1132010800105620028","202002","11350-3852","11680-100233126","서**별**강** **동**0**1**지**","11710","10100","1","0210","0034","레*하*츠","","402",2.57,61
"1153010900100830003","202005","11380-100209306","11260-100249325","서**별**용** **동**2**지**","11380","12000","1","0599","0072","","승우리버빌","401",1.9741,65
"1174010700104940040","202003","11305-28919","11545-64443","서**별**강** **동**2**-**지**","11215","11500","1","0593","0030","","","502",2.1116,76
"1150010300100730105","202010","11470-100191956","11560-100223089","서**별**구** **동**5**3**지**","11710","10300","1","0018","0009","도*공*","","501호",2.1505,58
"1153010700103230020","202105","11305-100205838","11380-84265","서**별**광** **동**3**5**","11290","10300","1","0913","0019","","","402",1.0774,30
"1123010600103920009","202003","11215-8061","11260-74661","서**별**서** **동**5**4**","11290","10200","1","0057","0026","아*도*빌*","5동","204",1.5421,43
"1138010200101770010","202007","11500-100307432","11470-100204936","서**별**강** **동**0**2**지**","11530","10600","1","0662","0002","파*새*라","","304",2.7798,47
"1123010600103260007","202003","11620-5442","11500-87242","서**별**관** **동**5**-**지**","11380","10700","1","0159","0046","청*빌*","","501호",3.2187,54
"1171010400100270015","202004","11650-100240174","11680-122800","서**별**은** **동**5**지**","11590","10300","1","0316","0008","","","1층102호",0.8349,51
"1150010300108710031","202102","11290-40021","11590-100182188","서**별**서** **동**5**-**지**","11215","10100","1","0055","0030","","그린파크빌","1층1호",1.9376,61
"1121510100101500122","202004","11740-15263","11530-100229659","서**별**구** **동**3**2**지**","11530","10500","1","0433","0024","다*림","","202호",1.0288,53
"1138010600102080039","202103","11710-100517421","11350-100195635","서**별**광** **동**3**2**지**","11440","10800","1","0694","0006","성*위*빌","주건축물제1동","301호",1.3647,57
"1147010300105190002","202005","11470-100200485","11290-63698","서**별**광** **동**9**5**","11305","10300","1","0234","0009","동*아*힐","","102",1.2494,64
"1165010200103490001","202011","11620-17140","11230-98603","서**별**중** ** **3**8**","11260","10500","1","0854","0032","","","303호",1.2795,95
"1144012700100200000","202004","11710-100239047","11440-113385","서**별**성** **곡**9**1**3**","11710","10300","1","0172","0004","","","302",0.477,95
"1141012000103370028","202003","11590-21240","11410-77248","서**별**강** **동**7**9**","11320","10500","1","0097","0321","","","404",1.7931,59
"1174010800100460004","202105","11260-13867","11230-100253236","서**별**마** **동**2**1**지**","11620","13900","1","0686","0011","초* *스*","","201",1.1333,64
"1156011100102360000","202003","11470-12955","11530-115720","서**별**강** **동**5**1**지**","11500","10100","1","0688","0004","포*빌","","201",1.399,39
"1138010400105220037","202009","11320-4335","11380-100271756","서**별**강** **동**4**1**지**","11710","13300","1","1046","0014","현*아*빌*","","301",1.6414,57
"1138010500100180009","202103","11680-9453","11680-178515","서**별**강** **동**9**3**지**","11290","11900","1","0315","0004","엘*하*스","세진파크","201호",0.6645,62
"1141010600101170006","202101","11710-100245443","11500-172737","서**별**은** **동**2**1**지**","11740","10200","1","0942","0024","천*빌*","1동","202",3.8527,80
"1121510500106510037","202008","11380-5685","11710-166491","서**별**강** **동**3**8**지**","11680","10300","1","0655","0483","늘*랑","","1층103호",1.2065,61
"1159010700102390006","202006","11320-8580","11200-90396","서**별**관** **동**0**1**","11215","10700","1","0003","0013","","","203",1.9029,403
"1174010900103310002","202004","11530-100229585","11215-100236574","서**별**금** **동**6**2**지**","11380","10900","1","0795","0006","","하우징허브오렌지","404",0.9744,62
"1147010200103180011","202104","11230-16705","11320-100216579","서**별**강** **동**0**1**지**","11620","10300","1","0113","0070","","","",1.1597,41
"1138010400104780004","202004","11545-100213098","11500-167218","서**별**은** **동**2**2**지**","11305","13300","1","1564","0250","대*맨*","","501",1.0839,67
"1126010200100840015","202103","11320-8957","11380-100295298","서**별**서** **동**2**번**","11350","10500","1","0322","0064","온*리*라","파인아트디자인하우스","",1.0545,93
"1147010200106010010","202007","11110-15616","11320-100201502","서**별**강** **동**0**3**지**","11215","10500","1","0741","0015","","","201호",1.3112,60
"1165010800114660021","202103","11710-100497443","11380-100228535","서**별**강** **동**1**6**","11500","10200","1","0546","0036","","","102",1.3791,67
