"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","대상지주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","건물이름(BLDNAME)","건물(동)이름(DONGNAME)","호_이름(HONAME)","건축연도(BLDCONYEAR)","본건_사례수(PRED_BON_CNT)","주변건_사례수(PRED_SARE_CNT)","면적대비_전세시세(DEPO_AREA_PRED)","예측_전세시세(DEPO_PRED)"
"1174010500103550004","202005","11320-16823","11680-189125","서**별**성** **동**4**2**","11530","10600","1","91","15","메*하*","","3층302호","2012",3,9,644.91,18622
"1171010600101130002","202006","11710-100454706","11230-100261518","서**별**송** **동**1**1**","11680","10500","1","266","14","","","401호","2003",0,33,708.94,13244
"1165010100110210002","202008","11740-100203212","11590-100240599","서**별**강** **동**8**3**","11620","10700","1","144","10","","","101","1989",0,7,384.72,21309
"1174010900100360006","202102","11620-100229441","11440-79425","서**별**영**구**길**1**-**번**","11530","10100","1","1131","18","청*빌*","","201","2018",0,3,406.93,15898
"1150010300103620066","202011","11410-100190082","11380-47315","서**별**중** **동**0**7**지**","11500","11100","1","391","102","대*리*빌","","101호","2002",0,70,354.01,20704
"1126010100100900001","202008","11545-100213113","11350-100192182","서**별**강** **동**6**1**지**","11380","10600","1","207","4","","B동","201","2003",1,62,967.07,12109
"1171011100101450022","202010","11650-100246004","11500-118100","서**별**은** **동**4**1**번**","11500","10300","1","341","16","대*아*빌*","","3층301호","2015",0,42,456.44,36305
"1147010300100190011","202010","11380-100293454","11530-100223754","서**별**강** **동**8**7**번**","11170","10600","1","280","10","드*2*팰*스","","102호","2011",0,17,543.43,27709
"1129013300108000002","202105","11380-100221464","11380-100203684","서**별**강** **동**8**5**지**","11530","10700","1","358","53","","","101호","2004",5,104,533.95,4814
"1171010700101160003","202011","11380-100263774","11470-103457","서**별**관** **동**8**3**지**","11170","10800","1","1709","106","장*베*트*","","501","1996",18,186,368.43,26483
"1174010900102280001","202101","11380-16548","11380-100255068","서**별**강** **동**7**지**","11500","10200","1","215","11","","","501호","2001",0,14,680.96,28081
"1159010900106870013","202105","11545-17350","11470-100197850","서**별**동**구**경**4**2**번**","11290","10500","1","13","2","에* *션","","201호","2008",0,13,289.21,21709
"1120010300102950000","202101","11650-7179","11590-100235130","서**별**동** **동**1**6**","11410","10300","1","4","0","","","803호","2019",3,34,443.9,9784
"1138010800100290034","202002","11620-10616","11290-100241523","서**별**서**구**가** **0**번**","11710","10200","1","618","7","리*하*빌*가*","","103호","2008",4,10,536.02,14028
"1153010700103500015","202008","11320-100207359","11650-94524","서**별**도** **동**9**1**지**","11650","10300","1","253","19","반*빌","","202","2015",8,10,293.61,14659
"1171010400100420004","202004","11560-100227539","11530-100240335","서**별**송** **동**1**1**","11500","10100","1","384","13","운*하*츠","1동","401호","2000",2,8,347.2,21339
"1138010800100810029","202103","11380-11142","11215-30182","서**별**구** **동**-**지**","11530","10800","1","86","18","","","401","1985",4,33,290.58,15708
"1171010800100080013","202007","11305-30631","11620-100240019","서**별**은** **동**9**1**지**","11440","16200","1","521","1","신*빌*","102동","101","2016",0,40,508.6,24227
"1138010500100030037","202009","11710-17593","11305-100219590","서**별**서** **동**5**-**번**","11500","12200","1","224","9","","","501","2003",0,55,413.06,21585
"1147010300104390023","202005","11710-100450294","11350-138595","서**별**송** **동**9**번**","11410","10300","1","724","1","","성일아트빌","902","2001",11,10,507.13,9605
"1165010100105300103","202101","11500-100296952","11440-100185213","서**별**송** **동**0**1**지**","11590","10900","1","338","64","","","402호","2014",1,1,1225.63,12518
"1159010200102030016","202002","11305-100205362","11680-100211294","서**별**은** **동**4**4**지**","11170","10200","1","23","6","","","401","1998",0,12,740.12,8528
"1132010800105760032","202105","11215-15825","11320-100184796","서**별**송** **동**7**0**","11590","11400","1","237","40","삼*맨*","","삼층402호","2010",1,10,467.37,28934
"1150010600107050010","202005","11305-13260","11380-77006","서**별**동**구**농**6**-**번**","11350","10100","1","436","62","가*","","501","2004",25,17,694.31,19317
"1162010200105970058","202002","11650-100222234","11410-100183000","서**별**도** **동**9**3**지**","11680","11500","1","237","262","스*이*빌","","401","1991",14,22,545.45,32451
"1150010800106730001","202006","11305-17587","11710-149309","서**별**강** **동**2**3**","11380","10200","1","292","15","준*르*","주건축물제1동","502호","2007",0,71,311.14,21493
"1150010900106470016","202101","11710-100515534","11740-100241187","서**별**관** **동**0**2**지**","11260","10300","1","873","0","","","105호","2013",0,5,430.15,22950
"1111018400101850008","202103","11440-27074","11170-50804","서**별**은** **동**-**번**","11260","10300","1","661","239","","","302","1979",10,12,286.95,15583
"1121510300102500043","202007","11305-28132","11380-100229926","서**별**마** **동**-**7**","11320","10600","1","834","8","","가동","2층202호","2006",0,11,379.68,17849
"1165010200100180012","202006","11545-100258722","11320-100194467","서**별**양** **동**8**9**","11410","10100","1","502","138","에*하*스","","301호","1996",7,19,360.52,14780
"1159010800100050002","201912","11680-100249609","11410-100201208","서**별**동** **동**7**1**","11380","10200","1","475","16","","","301호","2014",2,42,370.52,18585
"1174010500103510007","202104","11260-100219841","11650-22549","서**별**강** **동**5**4**번**","11470","10100","1","223","69","한* *스*클*스","A동","101호","2019",4,222,285.52,23701
"1132010600106850060","202105","11740-100291206","11500-100304417","서**별**강** **동**2**9**지**","11215","10500","1","227","8","T*e*H*m* *","","404","2019",3,9,521.48,34478
"1138010700100850054","202009","11560-100228310","11110-54257","서**별**종** **동**1**4**번**","11305","10900","1","655","222","창*빌*","","201","2001",0,15,424.34,9807
"1141011100100070001","202001","11410-9989","11230-100240457","서**별**도** **동**1**7**지**","11710","10100","1","319","31","예*팰*스*9*차","","203","2012",7,48,554.12,16087
"1174010500101250000","202003","11620-25097","11350-100194683","서**별**금** **동**9**1**지**","11305","10300","1","10","59","세*그*타*8*","보람빌라","301호","2003",1,10,656.29,10490
"1135010200104290031","202004","11110-28622","11380-100263038","서**별**송** **동**4**2**지**","11380","10300","1","530","12","아*모*빌*트*","101동","3층302호","2012",2,31,448.61,16509
"1126010300103270089","202008","11620-26534","11680-100209896","서**별**마** **동**1**2**지**","11740","10200","1","475","22","엘*스*","플로체","3층301호","2002",0,12,309.27,26751
"1174010800104280014","202104","11305-18069","11440-100212994","서**별**관** **동**9**1**번**","11710","10500","1","725","356","하*블*힐*","","302","2003",1,23,253.44,33516
"1150010300103920034","202003","11215-8840","11380-105280","서**별**중** ** **1**7**","11470","10200","1","481","18","클*우*5*","더채움하우스","401","2002",14,24,395.73,12609
"1132010500104940005","202003","11680-21338","11320-47280","서**별**송** **동**5**4**","11305","10100","1","498","9","","나동","403","1994",0,30,510.6,20487
"1138010300104450098","202008","11470-100197918","11500-100280784","서**별**마** **동**2**1**지**","11710","10200","1","31","16","","","301","2016",0,10,356.45,31248
"1144012300104590015","202012","11620-100238629","11530-54851","서**별**관** **동**0**-**번**","11740","10300","1","73","20","S*하*츠","","1층101호","2020",0,24,317.63,27436
"1126010100101350024","202004","11215-100231647","11290-100238519","서**별**강** **동**3**2**지**","11620","10200","1","513","29","","가동","1층202호","2003",1,2,306.4,16161
"1138010900102370299","202003","11230-8659","11620-87391","서**별**서**구**제**3**-**번**","11740","10800","1","494","0","","","301","2002",0,158,518.58,25472
"1111016800101920002","202004","11305-100212281","11260-100206281","서**별**서**구**은**2**-**번**","11650","10500","1","330","16","우*빌","A동","202","2005",0,9,457.23,23285
"1171010700100060007","202008","11215-100231207","11710-92268","서**별**서** **동**6**3**","11380","10300","1","385","0","","","103호","2013",6,66,530.74,8943
"1156013300110720039","202102","11440-21359","11350-100194800","서**별**종** **동**7**5**","11380","10600","1","1193","14","","","501","2019",0,7,584.85,17818
"1162010200101100063","202004","11500-100241652","11410-45039","서**별**영**구**림**1**-**지**","11380","10200","1","88","73","","104동","302","2018",2,18,380.12,20316
"1159010200102790169","202101","11470-100218909","11440-100260788","서**별**관** **동**4**4**","11440","10100","1","5","20","이*팰*스","화인빌라","402","2012",1,5,488.45,9201
"1121510500106660006","202105","11350-100199131","11470-69315","서**별**중** ** **-**지**","11680","12300","1","420","12","명*타*","팰리스타운B동","201호","1985",4,8,299.4,13666
"1171010500102120001","202105","11350-4303","11440-100183460","서**별**마** **동**0**2**","11500","10300","1","154","2","방*빌*","","402","2015",2,57,410.75,18902
"1132010500101370048","202105","11590-100208216","11380-70213","서**별**마** **동**6**1**","11590","10300","1","164","89","","","401","1985",1,0,337.07,17506
"1171011100101320002","202011","11680-100260890","11260-100238183","서**별**동** **동**9**4**지**","11620","18100","1","221","168","","","A401","1994",0,18,337.34,14436
"1144012600102570000","202012","11710-100237750","11500-165625","서**별**중**신** **3**6**","11170","10600","1","32","98","영*빌*5*","","1층1호","2001",4,4,605.93,22682
"1144010900100100075","202006","11305-28525","11410-85712","서**별**성** **동** **5**","11590","12000","1","164","9","","제이시빌","401","2018",26,29,214.71,19554
"1171010700100410012","202008","11260-21745","11230-100250939","서**별**종** **동**6**3**지**","11530","10200","1","214","14","뜨*네","","701호","2002",8,39,309.08,24966
"1126010100105500001","202002","11305-13543","11500-171944","서**별**종** **동**2**3**지**","11380","10100","1","1052","15","도*동*세*주*","","402","2002",4,23,739.31,29697
"1121510100101500228","202005","11710-100485860","11410-89051","서**별**강** **동**0**3**번**","11110","11800","1","21","2","","푸르메하우스A동","302호","1991",1,15,676.11,26337
"1120011500103010084","202005","11440-32199","11590-91212","서**별**중** **동**3**7**지**","11305","10500","1","331","55","라*빌","101동","201","2017",0,7,306.96,28194
"1150010800106540002","202002","11110-14631","11200-76598","서**별**서**구**가** **3**번**","11500","10400","1","31","16","방*동*세*주*","","202","1993",7,37,197.4,19760
"1171010600100150006","202007","11230-24681","11170-50677","서**별**광** **동**2**2**지**","11740","11800","1","881","319","래*앙*차","","102","2006",12,11,420.8,14178
"1138010200100290064","202012","11500-100315852","11530-100262176","서**별**광** **동**5**5**번**","11350","10400","1","587","34","","","502","2002",4,4,307.55,23380
"1153010600100490017","202010","11740-100244724","11350-109337","서**별**관** **동**1**7**지**","11440","10100","1","60","9","신*빌*","","301","2017",3,71,723.31,10997
"1111010500100210001","202104","11500-100251992","11710-100241267","서**별**송** **동**1**4**지**","11680","10200","1","597","75","블*힐","","103호","1986",2,26,331.78,13237
"1144010700104100002","202003","11320-100202380","11710-100480376","서**별**관** **동**0**7**지**","11230","12400","1","46","8","","","401","2018",1,22,269.21,20183
"1138010100103200010","202001","11545-100231031","11680-100225331","서**별**노** **동**4**5**","11215","10700","1","124","28","","","201호","2013",0,15,287.17,15782
"1171010400100100006","202101","11545-6156","11500-100282273","서**별**구** **동**-**지**","11740","10100","1","596","16","","","302","2020",1,47,316.06,22585
"1132010500104220133","202009","11215-14467","11710-146410","서**별**강** **동**6**4**지**","11380","10500","1","103","9","벨*지*","","303","1991",2,5,299.24,11348
"1171011100101720017","202009","11710-100464122","11380-97829","서**별**은** **동**9**7**","11380","10200","1","449","30","로*팰*스","","208","2001",0,30,336.35,10852
"1162010200115760004","202012","11680-18931","11740-100248984","서**별**양** **동**0**-**번**","11740","10200","1","449","5","하*담*휴","","102","2002",0,5,364.15,25483
"1150010200105260030","202010","11710-100552382","11710-140413","서**별**성** **동**3**4**번**","11740","10600","1","290","1","","홍성팰리스","103호","2018",0,11,402.53,28751
"1147010100112120009","202003","11320-4822","11545-68758","서**별**동** **방**3**-**1**","11650","12400","1","287","15","","스톤빌리지(101동)","502","2000",1,14,297.29,18791
"1156011800101410075","202009","11470-100224065","11560-100202419","서**별**송** **동**5**6**","11380","10600","1","29","4","","A동","402","2004",1,25,398.39,22494
"1147010300100760012","202009","11380-28699","11290-100251977","서**별**강** **동**8**1**지**","11380","10400","1","55","17","","","501","2013",1,4,360.6,18666
"1132010700106280010","202008","11740-100204391","11710-101817","서**별**동** **동**1**2**번**","11500","10100","1","233","21","","아데라움","402","2016",2,38,718.8,25066
"1168010600109160042","202101","11215-100227847","11230-100239395","서**별**강** **동**0**1**지**","11380","10500","1","79","6","일*하*스","","402","2014",6,17,219.18,15968
"1130510100102580601","202008","11440-100261063","11740-100218330","서**별**은** **동**5**3**","11305","10200","1","233","9","현*유*빌","","302호","1994",0,51,304.4,29452
"1162010300110540024","202105","11650-100192191","11260-100249305","서**별**강** ** **9**번**","11500","10300","1","528","68","","세인트캐슬A동","401","1983",1,27,360.61,85866
"1126010300102080016","202012","11740-100264722","11320-100196068","서**별**동**구**안**3**-**번**","11530","10300","1","182","17","","","501","2002",3,7,249.61,18571
"1174010900102890043","202104","11470-100225763","11500-77652","서**별**강** **동**9**1**지**","11230","10500","1","689","0","","101동","302호","2016",10,15,604.43,17380
"1135010200104110003","202008","11740-100251227","11740-100210076","서**별**영**구**평**가**1**1**","11530","10200","1","56","476","","","301","2002",6,27,308.16,24575
"1129011400100010000","202008","11380-19008","11545-100204453","서**별**강** **동**0**4**","11530","10100","1","445","27","서*하*츠","","204","2014",4,79,414.37,33056
"1171010700101710012","202008","11110-100217225","11650-53843","서**별**강** **동**5**8**","11440","12300","1","164","159","고*빌","","304","1989",2,33,360.03,18281
"1130510300103940050","202102","11305-18236","11500-100302935","서**별**구** ** **0**1**","11650","11000","1","804","0","","","201b","1990",0,14,719.33,25116
"1147010200107710008","202105","11305-28771","11740-100223481","서**별**중** **동**2**3**지**","11410","10700","1","564","36","","","402","1998",0,33,363.01,17937
"1138010700107440011","202011","11680-100222929","11215-100211947","서**별**강** **동**0**3**지**","11440","10200","1","242","4","대*타*","","303호","2004",2,8,776.97,23130
"1171010700101750022","202103","11710-15434","11380-110855","서**별**양** ** **9**번**","11170","10400","1","554","21","","","304","2018",8,11,596.91,15188
"1130510100102580266","202104","11470-100208145","11320-50615","서**별**은** **동**0**2**지**","11380","11100","1","193","53","","","2층202호","2015",1,13,293.58,9813
"1126010400102470097","202005","11470-17769","11680-100209561","서**별**금** **동**6**2**지**","11710","10600","1","716","80","드*펠*스","","301호","2001",0,13,769.98,30051
"1162010200101070017","202102","11710-14783","11680-100260456","서**별**마** **동**4**3**","11710","10800","1","1664","1339","그*씨*방*","나동","202호","2017",3,22,224.4,17081
"1150010300109700021","202009","11440-100209207","11680-145305","서**별**구** ** **4**번**","11590","11200","1","804","11","","","1층101호","2013",2,31,296.72,39945
"1154510200108890023","202002","11530-100232404","11380-100277608","서**별**구** **동**7**4**","11215","10900","1","5","2","중*포*스*","","401호","2003",0,45,424.7,10876
"1144011100102550007","202011","11410-10088","11215-100224440","서**별**금** **동**3**1**지**","11710","10900","1","508","32","","","502호","2015",7,12,316.51,30701
"1156010300100940126","202103","11380-100227904","11350-100191261","서**별**용** **동**-**5**","11320","10700","1","643","49","","다청림","501","2002",1,39,1088.74,16398
"1150010600106990034","202011","11710-100447819","11440-100184230","서**별**송** **동**6**4**","11590","10300","1","916","56","상*첼*2","102동","301호","2009",1,27,369.22,15443
"1150010200105210037","202010","11110-1980","11545-51842","서**별**구** **동**6**8**","11545","10100","1","10","419","S*파*리*","나동","302호","1997",0,13,538.22,27408
"1171010400101120007","202101","11740-8108","11560-100235215","서**별**서**구**가** **3**6**","11500","10500","1","188","3","다*대*택","","203호","2001",1,12,282.83,18262
"1154510200110520004","202008","11740-100224489","11710-101144","서**별**은** **동**8**5**","11560","10900","1","71","176","","","201","2013",4,5,548.4,9153
"1150010300109950019","202010","11710-20739","11215-100227541","서**별**강** **동**6**5**","11290","10300","1","485","29","","","703","1991",1,60,288.58,15475
"1165010700100760007","202103","11500-13471","11620-80714","서**별**강** **동**9**2**지**","11215","10200","1","4","16","현*빌*","","201호","1998",0,27,874.23,23355
"1126010300103130012","202102","11380-100198804","11500-100211150","서**별**송** **동**5**1**지**","11500","10200","1","1159","44","플*스*","","402호","1996",0,36,202.95,28709
"1144012500100810130","202003","11680-4374","11740-116698","서**별**강** **동**2**4**지**","11620","10900","1","8","1","","","201","2016",10,23,302.35,13021
"1130510300104860139","202101","11305-100184962","11260-100215110","서**별**양** **동**3**2**지**","11620","11400","1","392","19","월*빌","","2층202호","2003",0,141,416.83,13897
"1162010200114150003","202001","11680-8996","11440-100218816","서**별**강** **동**1**6**","11590","13300","1","5","6","올*브*이*C*","금강파크빌","402","2002",0,18,744.08,8451
"1111018600101360001","202104","11590-100226205","11680-178041","서**별**구** **동**6**4**지**","11380","10300","1","261","24","","","2호","2011",10,17,333.23,12184
"1154510200109930032","202101","11740-15950","11260-32602","서**별**중** ** **7**4**지**","11590","10400","1","455","120","임*빌*트","","3층304호","2016",0,44,236.23,26874
"1130510100100030634","202102","11410-100223362","11305-100202297","서**별**동**구**기**1**-**8**","11530","10300","1","117","19","","한나래빌","501","2015",8,98,442.36,12811
"1154510200103780256","202001","11290-21789","11620-100222311","서**별**관** **동**0**2**지**","11200","10100","1","286","4","힐*쉐*하*스","","303","2017",0,20,354.02,21433
"1126010300103090030","202002","11380-100254537","11380-100258028","서**별**서**구**은**3**-**번**","11710","10500","1","343","29","","","204","2016",9,25,325.04,9548
"1147010300104560002","202008","11545-100196816","11215-100233542","서**별**송** **동**1**1**지**","11260","10200","1","305","111","뜨*빌*빌*","우진해오름","502","2016",4,66,589.63,15571
"1130510100107914143","202003","11710-100241146","11500-116136","서**별**도** **동**5**1**지**","11620","10300","1","476","200","","A동","305호","2002",2,2,308.96,18021
"1129012000101760004","202008","11290-100193370","11440-90086","서**별**마** **동**1**1**","11380","10700","1","310","30","","","203","2009",0,18,318.12,25821
"1159010300104840000","202010","11320-100219735","11500-100249195","서**별**강** **동**7**3**","11410","10600","1","487","34","은*빌","가","302","2019",0,37,335.07,23662
"1159010100102050042","202012","11500-6634","11470-93271","서**별**송** **동**5**8**","11560","10400","1","1411","28","","","202","2019",16,131,260.39,14447
"1174010700104790013","202007","11170-19961","11560-115730","서**별**은** **동**0**번**","11215","10500","1","441","29","헤*티*","주건축물제1동","503","2008",0,38,389,21159
"1174010600104490000","202105","11650-100184150","11500-100305621","서**별**용** **동**9**3**지**","11710","10400","1","1376","104","금*리*빌","인터넷맨션","301","2016",1,54,395.17,20498
"1154510200110060185","202104","11170-100203445","11290-119473","서**별**금** **동**0**-**번**","11380","11300","1","953","28","","","301호","2021",2,31,693.48,24858
"1126010200101280023","202001","11530-100248913","11740-79466","서**별**강** **동**3**1**","11560","10100","1","466","2","","2","2층2호","1991",0,45,314.85,18799
"1126010200101040066","202010","11500-4532","11560-100233662","서**별**강** **동**9**3**","11440","10700","1","78","19","은*쉐*빌","B동","503","2017",5,107,598.76,15473
"1156011600102340002","202012","11260-100192508","11530-137585","서**별**강** **동**6**3**지**","11710","10500","1","66","14","","","402","1991",2,18,457.57,18556
"1141011900100030084","202006","11260-100231997","11500-166345","서**별**성** **동**2**4**지**","11140","10900","1","188","1","","","201","2003",0,7,599.17,19620
"1130510300104860269","202008","11200-11235","11710-78860","서**별**중**신** **7**0**","11305","10300","1","201","13","한*코*연*","","203호","2012",0,7,870.97,23930
"1165010200103830000","202006","11710-100237297","11650-100264087","서**별**강** **동**8**4**지**","11545","10800","1","140","1","자*하*스","","501","2015",0,5,1298.9,19185
"1171010800101380015","202103","11320-4756","11305-77985","서**별**동** **동**0**4**지**","11410","11800","1","1035","60","어*휴","2동","301","1994",0,16,460.99,13368
"1171011100100550017","202012","11380-100280234","11710-100538665","서**별**성** **동** **4**","11710","10200","1","166","3","","","103호","1990",4,30,753.07,11132
"1120011100112650022","202012","11530-7484","11545-58325","서**별**양** **동**9**2**지**","11650","13300","1","421","66","","","201호","2021",0,57,450.01,21752
"1162010100116880036","202001","11545-8751","11590-100244841","서**별**용** **원**1**-**번**","11290","10200","1","785","3","거*리*시","","502호","2019",2,4,760.49,17004
"1174010900100340004","202008","11410-1463","11545-100245785","서**별**광** **동**0**4**지**","11410","18400","1","559","9","드*빌","","201","2001",3,249,269.02,21469
"1154510300110040000","202011","11260-13205","11170-83349","서**별**구** **동**5**1**지**","11380","10300","1","534","18","민*통*빌","","3층301호","2006",3,20,655.92,14842
"1156013300108620010","202103","11410-10432","11500-146566","서**별**동** **동**9**9**지**","11380","10300","1","74","39","","","3층301호","2009",5,37,462.78,23757
"1150010300101050198","202008","11560-29194","11710-58892","서**별**구** ** **2**6**","11290","10200","1","121","42","팰*스*운","","211","1992",4,43,310.3,20542
"1156013200101580020","202012","11620-9629","11260-68935","서**별**은** **동**6**5**","11710","10700","1","851","34","","","303","1986",1,2,582.66,30127
"1150010600107030004","202004","11590-11006","11590-108779","서**별**동** **동**1**4**지**","11470","10200","1","805","11","","","303","2016",15,114,383.29,20708
"1130510100102580601","202005","11230-28483","11590-100234858","서**별**송** **동**-**지**","11710","12300","1","166","213","가*아*리*","","401","2002",0,18,343.85,9980
"1138010400104010012","202006","11230-15991","11380-64193","서**별**동** **동**0**2**","11710","10500","1","548","0","수* *웰*스*이*","","101호","2014",7,4,365.08,13749
